election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
r03-10-31,pr,北海道,北海道,2635733,2569130,66603,2.53,39
r03-10-31,pr,東北,青森県,571143,553264,17879,3.13,39
r03-10-31,pr,東北,岩手県,627926,604899,23027,3.67,39
r03-10-31,pr,東北,宮城県,1075680,1045245,30435,2.83,39
r03-10-31,pr,東北,秋田県,489744,473012,16732,3.42,39
r03-10-31,pr,東北,山形県,582415,563345,19070,3.27,39
r03-10-31,pr,東北,福島県,912618,880905,31713,3.47,39
r03-10-31,pr,東北,計,4259526,4120670,138856,3.26,39
r03-10-31,pr,北関東,茨城県,1268817,1237601,31216,2.46,39
r03-10-31,pr,北関東,栃木県,862240,833942,28298,3.28,39
r03-10-31,pr,北関東,群馬県,869742,847285,22457,2.58,39
r03-10-31,pr,北関東,埼玉県,3317273,3253275,63998,1.93,39
r03-10-31,pr,北関東,計,6318072,6172103,145969,2.31,39
r03-10-31,pr,南関東,千葉県,2824424,2764556,59868,2.12,39
r03-10-31,pr,南関東,神奈川県,4335521,4247015,88506,2.04,39
r03-10-31,pr,南関東,山梨県,415889,402737,13152,3.16,39
r03-10-31,pr,南関東,計,7575834,7414308,161526,2.13,39
r03-10-31,pr,東京都,東京都,6570323,6446898,123425,1.88,39
r03-10-31,pr,北陸信越,新潟県,1184620,1149923,34697,2.93,39
r03-10-31,pr,北陸信越,富山県,489899,473651,16248,3.32,39
r03-10-31,pr,北陸信越,石川県,539916,524207,15709,2.91,39
r03-10-31,pr,北陸信越,福井県,368420,359251,9169,2.49,39
r03-10-31,pr,北陸信越,長野県,1032173,1003581,28592,2.77,39
r03-10-31,pr,北陸信越,計,3615028,3510613,104415,2.89,39
r03-10-31,pr,東海,岐阜県,960915,934434,26481,2.76,39
r03-10-31,pr,東海,静岡県,1670106,1626921,43185,2.59,39
r03-10-31,pr,東海,愛知県,3426073,3355654,70419,2.06,39
r03-10-31,pr,東海,三重県,830739,811391,19348,2.33,39
r03-10-31,pr,東海,計,6887833,6728400,159433,2.31,39
r03-10-31,pr,近畿,滋賀県,660990,647814,13176,1.99,39
r03-10-31,pr,近畿,京都府,1185325,1159553,25772,2.17,39
r03-10-31,pr,近畿,大阪府,4110907,4036648,74259,1.81,39
r03-10-31,pr,近畿,兵庫県,2481916,2430926,50990,2.05,39
r03-10-31,pr,近畿,奈良県,670654,653320,17334,2.58,39
r03-10-31,pr,近畿,和歌山県,466398,450644,15754,3.38,39
r03-10-31,pr,近畿,計,9576190,9378905,197285,2.06,39
r03-10-31,pr,中国,鳥取県,270609,262049,8560,3.16,39
r03-10-31,pr,中国,島根県,344644,336712,7932,2.30,39
r03-10-31,pr,中国,岡山県,798911,781601,17310,2.17,39
r03-10-31,pr,中国,広島県,1211511,1186453,25058,2.07,39
r03-10-31,pr,中国,山口県,566502,552612,13890,2.45,39
r03-10-31,pr,中国,計,3192177,3119427,72750,2.28,39
r03-10-31,pr,四国,徳島県,335303,321600,13703,4.09,39
r03-10-31,pr,四国,香川県,455443,443079,12364,2.71,39
r03-10-31,pr,四国,愛媛県,627359,605747,21612,3.44,39
r03-10-31,pr,四国,高知県,342824,328061,14763,4.31,39
r03-10-31,pr,四国,計,1760929,1698487,62442,3.55,39
r03-10-31,pr,九州,福岡県,2203176,2143861,59315,2.69,39
r03-10-31,pr,九州,佐賀県,394638,383934,10704,2.71,39
r03-10-31,pr,九州,長崎県,633578,613979,19599,3.09,39
r03-10-31,pr,九州,熊本県,820373,792924,27449,3.35,39
r03-10-31,pr,九州,大分県,546707,527304,19403,3.55,39
r03-10-31,pr,九州,宮崎県,483824,472244,11580,2.39,39
r03-10-31,pr,九州,鹿児島県,772881,752125,20756,2.69,39
r03-10-31,pr,九州,沖縄県,644525,620669,23856,3.70,39
r03-10-31,pr,九州,計,6499702,6307040,192662,2.96,39
r03-10-31,pr,,合計,58891347,57465981,1425366,2.42,39
