election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r03-10-31,北海道,自由民主党,1078245,85336,1163581,31
r03-10-31,北海道,立憲民主党,794439,357097,1151536,31
r03-10-31,北海道,公明党,96843,,96843,31
r03-10-31,北海道,日本維新の会,109068,,109068,31
r03-10-31,青森県,自由民主党,335378,,335378,31
r03-10-31,青森県,立憲民主党,128666,65909,194575,31
r03-10-31,青森県,公明党,,,,31
r03-10-31,青森県,日本維新の会,,,,31
r03-10-31,岩手県,自由民主党,267902,62666,330568,31
r03-10-31,岩手県,立憲民主党,263068,,263068,31
r03-10-31,岩手県,公明党,,,,31
r03-10-31,岩手県,日本維新の会,,,,31
r03-10-31,宮城県,自由民主党,508199,61410,569609,31
r03-10-31,宮城県,立憲民主党,81033,273206,354239,31
r03-10-31,宮城県,公明党,,,,31
r03-10-31,宮城県,日本維新の会,27451,23033,50484,31
r03-10-31,秋田県,自由民主党,286639,,286639,31
r03-10-31,秋田県,立憲民主党,154211,,154211,31
r03-10-31,秋田県,公明党,,,,31
r03-10-31,秋田県,日本維新の会,,,,31
r03-10-31,山形県,自由民主党,236680,108558,345238,31
r03-10-31,山形県,立憲民主党,73872,,73872,31
r03-10-31,山形県,公明党,,,,31
r03-10-31,山形県,日本維新の会,,,,31
r03-10-31,福島県,自由民主党,464123,,464123,31
r03-10-31,福島県,立憲民主党,252641,123620,376261,31
r03-10-31,福島県,公明党,,,,31
r03-10-31,福島県,日本維新の会,,,,31
r03-10-31,茨城県,自由民主党,469202,200065,669267,31
r03-10-31,茨城県,立憲民主党,309190,,309190,31
r03-10-31,茨城県,公明党,,,,31
r03-10-31,茨城県,日本維新の会,45783,25162,70945,31
r03-10-31,栃木県,自由民主党,469764,,469764,31
r03-10-31,栃木県,立憲民主党,287162,,287162,31
r03-10-31,栃木県,公明党,,,,31
r03-10-31,栃木県,日本維新の会,43935,,43935,31
r03-10-31,群馬県,自由民主党,390423,125702,516125,31
r03-10-31,群馬県,立憲民主党,174696,,174696,31
r03-10-31,群馬県,公明党,,,,31
r03-10-31,群馬県,日本維新の会,42529,,42529,31
r03-10-31,埼玉県,自由民主党,1528350,101149,1629499,31
r03-10-31,埼玉県,立憲民主党,826158,194382,1020540,31
r03-10-31,埼玉県,公明党,,,,31
r03-10-31,埼玉県,日本維新の会,129431,31475,160906,31
r03-10-31,千葉県,自由民主党,1366616.611,,1366616.611,31
r03-10-31,千葉県,立憲民主党,947917.387,71048,1018965.387,31
r03-10-31,千葉県,公明党,,,,31
r03-10-31,千葉県,日本維新の会,152137,,152137,31
r03-10-31,東京都,自由民主党,2423125.887,207814,2630939.887,31
r03-10-31,東京都,立憲民主党,1678497.109,363806,2042303.109,31
r03-10-31,東京都,公明党,101020,,101020,31
r03-10-31,東京都,日本維新の会,612609,206149,818758,31
r03-10-31,神奈川県,自由民主党,1906013,131284,2037297,31
r03-10-31,神奈川県,立憲民主党,1278552,254734,1533286,31
r03-10-31,神奈川県,公明党,,,,31
r03-10-31,神奈川県,日本維新の会,264500,,264500,31
r03-10-31,新潟県,自由民主党,553223,,553223,31
r03-10-31,新潟県,立憲民主党,179423,224859,404282,31
r03-10-31,新潟県,公明党,,,,31
r03-10-31,新潟県,日本維新の会,18333,,18333,31
r03-10-31,富山県,自由民主党,322855,,322855,31
r03-10-31,富山県,立憲民主党,55815,,55815,31
r03-10-31,富山県,公明党,,,,31
r03-10-31,富山県,日本維新の会,45411,,45411,31
r03-10-31,石川県,自由民主党,306045,,306045,31
r03-10-31,石川県,立憲民主党,125238,,125238,31
r03-10-31,石川県,公明党,,,,31
r03-10-31,石川県,日本維新の会,45663,,45663,31
r03-10-31,福井県,自由民主党,81705,136171,217876,31
r03-10-31,福井県,立憲民主党,141829,,141829,31
r03-10-31,福井県,公明党,,,,31
r03-10-31,福井県,日本維新の会,,,,31
r03-10-31,山梨県,自由民主党,125325,109036,234361,31
r03-10-31,山梨県,立憲民主党,118223,44441,162664,31
r03-10-31,山梨県,公明党,,,,31
r03-10-31,山梨県,日本維新の会,,,,31
r03-10-31,長野県,自由民主党,502096,,502096,31
r03-10-31,長野県,立憲民主党,412940,,412940,31
r03-10-31,長野県,公明党,,,,31
r03-10-31,長野県,日本維新の会,43026,,43026,31
r03-10-31,岐阜県,自由民主党,434096,103805,537901,31
r03-10-31,岐阜県,立憲民主党,233599,68615,302214,31
r03-10-31,岐阜県,公明党,,,,31
r03-10-31,岐阜県,日本維新の会,24092,,24092,31
r03-10-31,静岡県,自由民主党,701958,101868,803826,31
r03-10-31,静岡県,立憲民主党,564129,,564129,31
r03-10-31,静岡県,公明党,,,,31
r03-10-31,静岡県,日本維新の会,64194,,64194,31
r03-10-31,愛知県,自由民主党,1663933,,1663933,31
r03-10-31,愛知県,立憲民主党,1225267,,1225267,31
r03-10-31,愛知県,公明党,,,,31
r03-10-31,愛知県,日本維新の会,62601,73180,135781,31
r03-10-31,三重県,自由民主党,442889,,442889,31
r03-10-31,三重県,立憲民主党,359671,,359671,31
r03-10-31,三重県,公明党,,,,31
r03-10-31,三重県,日本維新の会,,,,31
r03-10-31,滋賀県,自由民主党,349634,,349634,31
r03-10-31,滋賀県,立憲民主党,136235,,136235,31
r03-10-31,滋賀県,公明党,,,,31
r03-10-31,滋賀県,日本維新の会,41593,,41593,31
r03-10-31,京都府,自由民主党,361001,61674,422675,31
r03-10-31,京都府,立憲民主党,205370,32108,237478,31
r03-10-31,京都府,公明党,,,,31
