election_id,block,party,votes,seats,seats_male,seats_female,source_page
h29-10-22,北海道,公明党,298573,1,1,0,44
h29-10-22,北海道,新党大地,226552,0,0,0,44
h29-10-22,北海道,日本共産党,230316,0,0,0,44
h29-10-22,北海道,自由民主党,779903,3,2,1,44
h29-10-22,北海道,希望の党,331463,1,1,0,45
h29-10-22,北海道,日本維新の会,74701,0,0,0,45
h29-10-22,北海道,立憲民主党,714032,3,2,1,45
h29-10-22,北海道,幸福実現党,13983,0,0,0,45
h29-10-22,北海道,社会民主党,37374,0,0,0,46
h29-10-22,東北,公明党,463740,1,1,0,47
h29-10-22,東北,日本維新の会,127674,0,0,0,47
h29-10-22,東北,日本のこころ,44960,0,0,0,47
h29-10-22,東北,社会民主党,105589,0,0,0,47
h29-10-22,東北,日本共産党,310559,1,0,1,48
h29-10-22,東北,幸福実現党,22626,0,0,0,48
h29-10-22,東北,自由民主党,1453871,5,4,1,48
h29-10-22,東北,希望の党,912819,3,3,0,48
h29-10-22,東北,立憲民主党,761117,3,2,1,49
h29-10-22,北関東,希望の党,1154154,4,3,1,50
h29-10-22,北関東,立憲民主党,1317457,5,3,2,50
h29-10-22,北関東,日本維新の会,203103,0,0,0,50
h29-10-22,北関東,幸福実現党,29504,0,0,0,50
h29-10-22,北関東,公明党,784671,2,2,0,51
h29-10-22,北関東,社会民主党,65985,0,0,0,51
h29-10-22,北関東,自由民主党,1985993,7,6,1,51
h29-10-22,北関東,日本共産党,449625,1,1,0,51
h29-10-22,南関東,社会民主党,87517,0,0,0,52
h29-10-22,南関東,立憲民主党,1612425,5,5,0,52
h29-10-22,南関東,日本維新の会,269274,1,1,0,52
h29-10-22,南関東,自由民主党,2356614,8,7,1,52
h29-10-22,南関東,幸福実現党,26331,0,0,0,53
h29-10-22,南関東,希望の党,1184103,4,4,0,53
h29-10-22,南関東,公明党,787461,2,1,1,53
h29-10-22,南関東,日本共産党,550404,2,1,1,53
h29-10-22,東京都,日本共産党,618332,2,2,0,54
h29-10-22,東京都,希望の党,1039647,3,3,0,54
h29-10-22,東京都,幸福実現党,15872,0,0,0,54
h29-10-22,東京都,社会民主党,56732,0,0,0,54
h29-10-22,東京都,日本のこころ,40592,0,0,0,55
h29-10-22,東京都,立憲民主党,1405836,4,4,0,55
h29-10-22,東京都,公明党,644634,2,1,1,55
h29-10-22,東京都,自由民主党,1816184,6,5,1,55
h29-10-22,東京都,日本維新の会,198127,0,0,0,56
h29-10-22,東京都,支持政党なし,125019,0,0,0,56
h29-10-22,北陸信越,公明党,318050,1,1,0,57
h29-10-22,北陸信越,日本維新の会,164714,0,0,0,57
h29-10-22,北陸信越,幸福実現党,25064,0,0,0,57
h29-10-22,北陸信越,社会民主党,90218,0,0,0,57
h29-10-22,北陸信越,自由民主党,1328838,5,5,0,58
h29-10-22,北陸信越,希望の党,688924,2,2,0,58
h29-10-22,北陸信越,日本共産党,267777,1,1,0,58
h29-10-22,北陸信越,立憲民主党,699426,2,1,1,58
h29-10-22,東海,立憲民主党,1418633,4,4,0,59
h29-10-22,東海,日本共産党,450970,1,0,1,59
h29-10-22,東海,幸福実現党,38580,0,0,0,59
h29-10-22,東海,希望の党,1445549,5,5,0,59
h29-10-22,東海,社会民主党,67445,0,0,0,60
h29-10-22,東海,自由民主党,2237838,8,8,0,60
h29-10-22,東海,公明党,781228,2,2,0,60
h29-10-22,東海,日本維新の会,297759,1,1,0,60
h29-10-22,近畿,公明党,1164995,4,2,2,61
h29-10-22,近畿,社会民主党,78702,0,0,0,61
h29-10-22,近畿,自由民主党,2586424,9,7,2,61
h29-10-22,近畿,日本維新の会,1544821,5,4,1,61
h29-10-22,近畿,希望の党,913860,3,3,0,62
h29-10-22,近畿,幸福実現党,36774,0,0,0,62
h29-10-22,近畿,立憲民主党,1335360,5,4,1,62
h29-10-22,近畿,日本共産党,786158,2,2,0,62
h29-10-22,中国,公明党,476270,2,2,0,63
h29-10-22,中国,日本維新の会,151221,0,0,0,63
h29-10-22,中国,希望の党,514191,2,2,0,63
h29-10-22,中国,幸福実現党,20701,0,0,0,63
h29-10-22,中国,日本共産党,199152,0,0,0,64
h29-10-22,中国,自由民主党,1249073,5,4,1,64
h29-10-22,中国,社会民主党,44240,0,0,0,64
h29-10-22,中国,立憲民主党,533050,2,1,1,64
h29-10-22,四国,幸福実現党,12356,0,0,0,65
h29-10-22,四国,日本共産党,118826,0,0,0,65
h29-10-22,四国,立憲民主党,232965,1,1,0,65
h29-10-22,四国,自由民主党,579225,3,3,0,65
h29-10-22,四国,希望の党,324106,1,1,0,66
h29-10-22,四国,社会民主党,29818,0,0,0,66
h29-10-22,四国,日本維新の会,78500,0,0,0,66
h29-10-22,四国,公明党,236863,1,1,0,66
h29-10-22,九州,自由民主党,2181754,7,7,0,67
h29-10-22,九州,幸福実現党,50293,0,0,0,67
h29-10-22,九州,公明党,1021227,3,3,0,67
h29-10-22,九州,社会民主党,277704,1,1,0,67
h29-10-22,九州,日本共産党,421962,1,1,0,68
h29-10-22,九州,立憲民主党,1054589,3,3,0,68
h29-10-22,九州,希望の党,1168708,4,4,0,68
h29-10-22,九州,日本維新の会,277203,1,1,0,68
