election_id,block,rank,party,votes,share_pct,is_total_row,source_page
h29-10-22,北海道,1,自由民主党,779903,28.81,false,33
h29-10-22,北海道,2,立憲民主党,714032,26.38,false,33
h29-10-22,北海道,3,希望の党,331463,12.25,false,33
h29-10-22,北海道,4,公明党,298573,11.03,false,33
h29-10-22,北海道,5,日本共産党,230316,8.51,false,33
h29-10-22,北海道,6,新党大地,226552,8.37,false,33
h29-10-22,北海道,7,日本維新の会,74701,2.76,false,33
h29-10-22,北海道,8,社会民主党,37374,1.38,false,33
h29-10-22,北海道,9,幸福実現党,13983,0.52,false,33
h29-10-22,北海道,,__TOTAL__,2706897,100.00,true,33
h29-10-22,東北,1,自由民主党,1453871,34.59,false,34
h29-10-22,東北,2,希望の党,912819,21.72,false,34
h29-10-22,東北,3,立憲民主党,761117,18.11,false,34
h29-10-22,東北,4,公明党,463740,11.03,false,34
h29-10-22,東北,5,日本共産党,310559,7.39,false,34
h29-10-22,東北,6,日本維新の会,127674,3.04,false,34
h29-10-22,東北,7,社会民主党,105589,2.51,false,34
h29-10-22,東北,8,日本のこころ,44960,1.07,false,34
h29-10-22,東北,9,幸福実現党,22626,0.54,false,34
h29-10-22,東北,,__TOTAL__,4202955,100.00,true,34
h29-10-22,北関東,1,自由民主党,1985993,33.15,false,35
h29-10-22,北関東,2,立憲民主党,1317457,21.99,false,35
h29-10-22,北関東,3,希望の党,1154154,19.27,false,35
h29-10-22,北関東,4,公明党,784671,13.10,false,35
h29-10-22,北関東,5,日本共産党,449625,7.51,false,35
h29-10-22,北関東,6,日本維新の会,203103,3.39,false,35
h29-10-22,北関東,7,社会民主党,65985,1.10,false,35
h29-10-22,北関東,8,幸福実現党,29504,0.49,false,35
h29-10-22,北関東,,__TOTAL__,5990492,100.00,true,35
h29-10-22,南関東,1,自由民主党,2356614,34.28,false,36
h29-10-22,南関東,2,立憲民主党,1612425,23.46,false,36
h29-10-22,南関東,3,希望の党,1184103,17.23,false,36
h29-10-22,南関東,4,公明党,787461,11.46,false,36
h29-10-22,南関東,5,日本共産党,550404,8.01,false,36
h29-10-22,南関東,6,日本維新の会,269274,3.92,false,36
h29-10-22,南関東,7,社会民主党,87517,1.27,false,36
h29-10-22,南関東,8,幸福実現党,26331,0.38,false,36
h29-10-22,南関東,,__TOTAL__,6874129,100.00,true,36
h29-10-22,東京都,1,自由民主党,1816184,30.47,false,37
h29-10-22,東京都,2,立憲民主党,1405836,23.58,false,37
h29-10-22,東京都,3,希望の党,1039647,17.44,false,37
h29-10-22,東京都,4,公明党,644634,10.81,false,37
h29-10-22,東京都,5,日本共産党,618332,10.37,false,37
h29-10-22,東京都,6,日本維新の会,198127,3.32,false,37
h29-10-22,東京都,7,支持政党なし,125019,2.10,false,37
h29-10-22,東京都,8,社会民主党,56732,0.95,false,37
h29-10-22,東京都,9,日本のこころ,40592,0.68,false,37
h29-10-22,東京都,10,幸福実現党,15872,0.27,false,37
h29-10-22,東京都,,__TOTAL__,5960975,100.00,true,37
h29-10-22,北陸信越,1,自由民主党,1328838,37.09,false,38
h29-10-22,北陸信越,2,立憲民主党,699426,19.52,false,38
h29-10-22,北陸信越,3,希望の党,688924,19.23,false,38
h29-10-22,北陸信越,4,公明党,318050,8.88,false,38
h29-10-22,北陸信越,5,日本共産党,267777,7.47,false,38
h29-10-22,北陸信越,6,日本維新の会,164714,4.60,false,38
h29-10-22,北陸信越,7,社会民主党,90218,2.52,false,38
h29-10-22,北陸信越,8,幸福実現党,25064,0.70,false,38
h29-10-22,北陸信越,,__TOTAL__,3583011,100.00,true,38
h29-10-22,東海,1,自由民主党,2237838,33.21,false,39
h29-10-22,東海,2,希望の党,1445549,21.45,false,39
h29-10-22,東海,3,立憲民主党,1418633,21.05,false,39
h29-10-22,東海,4,公明党,781228,11.59,false,39
h29-10-22,東海,5,日本共産党,450970,6.69,false,39
h29-10-22,東海,6,日本維新の会,297759,4.42,false,39
h29-10-22,東海,7,社会民主党,67445,1.00,false,39
h29-10-22,東海,8,幸福実現党,38580,0.57,false,39
h29-10-22,東海,,__TOTAL__,6738002,100.00,true,39
h29-10-22,近畿,1,自由民主党,2586424,30.62,false,40
h29-10-22,近畿,2,日本維新の会,1544821,18.29,false,40
h29-10-22,近畿,3,立憲民主党,1335360,15.81,false,40
h29-10-22,近畿,4,公明党,1164995,13.79,false,40
h29-10-22,近畿,5,希望の党,913860,10.82,false,40
h29-10-22,近畿,6,日本共産党,786158,9.31,false,40
h29-10-22,近畿,7,社会民主党,78702,0.93,false,40
h29-10-22,近畿,8,幸福実現党,36774,0.44,false,40
h29-10-22,近畿,,__TOTAL__,8447094,100.00,true,40
h29-10-22,中国,1,自由民主党,1249073,39.18,false,41
h29-10-22,中国,2,立憲民主党,533050,16.72,false,41
h29-10-22,中国,3,希望の党,514191,16.13,false,41
h29-10-22,中国,4,公明党,476270,14.94,false,41
h29-10-22,中国,5,日本共産党,199152,6.25,false,41
h29-10-22,中国,6,日本維新の会,151221,4.74,false,41
h29-10-22,中国,7,社会民主党,44240,1.39,false,41
