election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
h29-10-22,pr,北海道,北海道,2764030,2706897,57133,2.07,32
h29-10-22,pr,東北,青森県,609459,589594,19865,3.26,32
h29-10-22,pr,東北,岩手県,638108,613598,24510,3.84,32
h29-10-22,pr,東北,宮城県,1026879,1003507,23372,2.28,32
h29-10-22,pr,東北,秋田県,535358,520283,15075,2.82,32
h29-10-22,pr,東北,山形県,602349,586093,16256,2.70,32
h29-10-22,pr,東北,福島県,920123,889880,30243,3.29,32
h29-10-22,pr,東北,計,4332276,4202955,129321,2.99,32
h29-10-22,pr,北関東,茨城県,1261476,1236687,24789,1.97,32
h29-10-22,pr,北関東,栃木県,850430,830484,19946,2.35,32
h29-10-22,pr,北関東,群馬県,853028,834292,18736,2.20,32
h29-10-22,pr,北関東,埼玉県,3135165,3089029,46136,1.47,32
h29-10-22,pr,北関東,計,6100099,5990492,109607,1.80,32
h29-10-22,pr,南関東,千葉県,2606651,2565972,40679,1.56,32
h29-10-22,pr,南関東,神奈川県,3956709,3895653,61056,1.54,32
h29-10-22,pr,南関東,山梨県,425334,412504,12830,3.02,32
h29-10-22,pr,南関東,計,6988694,6874129,114565,1.64,32
h29-10-22,pr,東京都,東京都,6047348,5960975,86373,1.43,32
h29-10-22,pr,北陸信越,新潟県,1213748,1174904,38844,3.20,32
h29-10-22,pr,北陸信越,富山県,485894,471357,14537,2.99,32
h29-10-22,pr,北陸信越,石川県,557071,541494,15577,2.80,32
h29-10-22,pr,北陸信越,福井県,365244,355848,9396,2.57,32
h29-10-22,pr,北陸信越,長野県,1063179,1039408,23771,2.24,32
h29-10-22,pr,北陸信越,計,3685136,3583011,102125,2.77,32
h29-10-22,pr,東海,岐阜県,955144,930804,24340,2.55,32
h29-10-22,pr,東海,静岡県,1744128,1704049,40079,2.30,32
h29-10-22,pr,東海,愛知県,3333995,3262804,71191,2.14,32
h29-10-22,pr,東海,三重県,861885,840345,21540,2.50,32
h29-10-22,pr,東海,計,6895152,6738002,157150,2.28,32
h29-10-22,pr,近畿,滋賀県,648397,636917,11480,1.77,32
h29-10-22,pr,近畿,京都府,1083951,1063367,20584,1.90,32
h29-10-22,pr,近畿,大阪府,3534920,3480696,54224,1.53,32
h29-10-22,pr,近畿,兵庫県,2247134,2208792,38342,1.71,32
h29-10-22,pr,近畿,奈良県,643801,630806,12995,2.02,32
h29-10-22,pr,近畿,和歌山県,438894,426516,12378,2.82,32
h29-10-22,pr,近畿,計,8597097,8447094,150003,1.74,32
h29-10-22,pr,中国,鳥取県,270306,262746,7560,2.80,32
h29-10-22,pr,中国,島根県,351384,342301,9083,2.58,32
h29-10-22,pr,中国,岡山県,798429,782586,15843,1.98,32
h29-10-22,pr,中国,広島県,1181591,1160538,21053,1.78,32
h29-10-22,pr,中国,山口県,652085,639727,12358,1.90,32
h29-10-22,pr,中国,計,3253795,3187898,65897,2.03,32
h29-10-22,pr,四国,徳島県,299510,291634,7876,2.63,32
h29-10-22,pr,四国,香川県,440347,426980,13367,3.04,32
h29-10-22,pr,四国,愛媛県,597233,584297,12936,2.17,32
h29-10-22,pr,四国,高知県,321779,309748,12031,3.74,32
h29-10-22,pr,四国,計,1658869,1612659,46210,2.79,32
h29-10-22,pr,九州,福岡県,2253800,2203305,50495,2.24,32
h29-10-22,pr,九州,佐賀県,409268,399203,10065,2.46,32
h29-10-22,pr,九州,長崎県,661614,645368,16246,2.46,32
h29-10-22,pr,九州,熊本県,847522,819009,28513,3.36,32
h29-10-22,pr,九州,大分県,558939,542635,16304,2.92,32
h29-10-22,pr,九州,宮崎県,467536,458902,8634,1.85,32
h29-10-22,pr,九州,鹿児島県,773241,756380,16861,2.18,32
h29-10-22,pr,九州,沖縄県,650838,628638,22200,3.41,32
h29-10-22,pr,九州,計,6622758,6453440,169318,2.56,32
h29-10-22,pr,,合計,56945254,55757552,1187702,2.09,32
