election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
h29-10-22,smd,,北海道,2764547,2692616,71931,2.60,31
h29-10-22,smd,,青森県,609518,596868,12650,2.08,31
h29-10-22,smd,,岩手県,638205,621990,16215,2.54,31
h29-10-22,smd,,宮城県,1026947,1002507,24440,2.38,31
h29-10-22,smd,,秋田県,535400,521969,13431,2.51,31
h29-10-22,smd,,山形県,602510,594147,8363,1.39,31
h29-10-22,smd,,福島県,920224,902732,17492,1.90,31
h29-10-22,smd,,茨城県,1261545,1232818,28727,2.28,31
h29-10-22,smd,,栃木県,850483,828151,22332,2.63,31
h29-10-22,smd,,群馬県,853076,822560,30516,3.58,31
h29-10-22,smd,,埼玉県,3135397,3054451,80946,2.58,31
h29-10-22,smd,,千葉県,2606941,2539739,67202,2.58,31
h29-10-22,smd,,東京都,6048192,5848999,199193,3.29,31
h29-10-22,smd,,神奈川県,3956914,3859121,97793,2.47,31
h29-10-22,smd,,新潟県,1213977,1189012,24965,2.06,31
h29-10-22,smd,,富山県,485961,473445,12516,2.58,31
h29-10-22,smd,,石川県,557104,543772,13332,2.39,31
h29-10-22,smd,,福井県,365270,353291,11979,3.28,31
h29-10-22,smd,,山梨県,425364,417105,8259,1.94,31
h29-10-22,smd,,長野県,1063260,1039246,24014,2.26,31
h29-10-22,smd,,岐阜県,955140,928621,26519,2.78,31
h29-10-22,smd,,静岡県,1744347,1710795,33552,1.92,31
h29-10-22,smd,,愛知県,3334093,3248100,85993,2.58,31
h29-10-22,smd,,三重県,861922,844103,17819,2.07,31
h29-10-22,smd,,滋賀県,648448,634133,14315,2.21,31
h29-10-22,smd,,京都府,1084102,1057849,26253,2.42,31
h29-10-22,smd,,大阪府,3535099,3407966,127133,3.60,31
h29-10-22,smd,,兵庫県,2247387,2172003,75384,3.35,31
h29-10-22,smd,,奈良県,643816,627685,16131,2.51,31
h29-10-22,smd,,和歌山県,438936,423959,14977,3.41,31
h29-10-22,smd,,鳥取県,270340,263664,6676,2.47,31
h29-10-22,smd,,島根県,351417,342644,8773,2.50,31
h29-10-22,smd,,岡山県,798498,782078,16420,2.06,31
h29-10-22,smd,,広島県,1181636,1151841,29795,2.52,31
h29-10-22,smd,,山口県,652147,634975,17172,2.63,31
h29-10-22,smd,,徳島県,299583,290358,9225,3.08,31
h29-10-22,smd,,香川県,440382,428201,12181,2.77,31
h29-10-22,smd,,愛媛県,597309,584058,13251,2.22,31
h29-10-22,smd,,高知県,321866,315615,6251,1.94,31
h29-10-22,smd,,福岡県,2253908,2180975,72933,3.24,31
h29-10-22,smd,,佐賀県,409293,402489,6804,1.66,31
h29-10-22,smd,,長崎県,661648,643450,18198,2.75,31
h29-10-22,smd,,熊本県,847510,816412,31098,3.67,31
h29-10-22,smd,,大分県,559023,547276,11747,2.10,31
h29-10-22,smd,,宮崎県,467584,453758,13826,2.96,31
h29-10-22,smd,,鹿児島県,773287,758511,14776,1.91,31
h29-10-22,smd,,沖縄県,651401,636030,15371,2.36,31
h29-10-22,smd,,合計,56950957,55422088,1528869,2.68,31
