election_id,tier,period,party,votes,share_pct,source_page
h29-10-22,smd,current,自由民主党,26500776.635,47.82,23
h29-10-22,smd,current,立憲民主党,4726326.078,8.53,23
h29-10-22,smd,current,希望の党,11437601.615,20.64,23
h29-10-22,smd,current,公明党,832453.000,1.50,23
h29-10-22,smd,current,日本共産党,4998932.309,9.02,23
h29-10-22,smd,current,日本維新の会,1765053.396,3.18,23
h29-10-22,smd,current,社会民主党,634770.000,1.15,23
h29-10-22,smd,previous,自由民主党,25461448.922,48.10,23
h29-10-22,smd,previous,立憲民主党,,,23
h29-10-22,smd,previous,希望の党,,,23
h29-10-22,smd,previous,公明党,765390.000,1.45,23
h29-10-22,smd,previous,日本共産党,7040169.793,13.30,23
h29-10-22,smd,previous,日本維新の会,,,23
h29-10-22,smd,previous,社会民主党,419347.000,0.79,23
h29-10-22,smd,diff,自由民主党,1039327.713,4.08,23
h29-10-22,smd,diff,立憲民主党,4726326.078,,23
h29-10-22,smd,diff,希望の党,11437601.615,,23
h29-10-22,smd,diff,公明党,67063.000,8.76,23
h29-10-22,smd,diff,日本共産党,-2041237.484,-28.99,23
h29-10-22,smd,diff,日本維新の会,1765053.396,,23
h29-10-22,smd,diff,社会民主党,215423.000,51.37,23
h29-10-22,smd,current,日本のこころ,,,23
h29-10-22,smd,previous,日本のこころ,947395.994,1.79,23
h29-10-22,smd,diff,日本のこころ,-947395.994,-100.00,23
h29-10-22,smd,current,諸派,211251.998,0.38,24
h29-10-22,smd,current,無所属,4315027.920,7.79,24
h29-10-22,smd,current,__TOTAL__,55422192.951,100.00,24
h29-10-22,smd,previous,諸派,16794796.097,31.72,24
h29-10-22,smd,previous,無所属,1511242.152,2.85,24
h29-10-22,smd,previous,__TOTAL__,52939789.958,100.00,24
h29-10-22,smd,diff,諸派,-16583544.099,-98.74,24
h29-10-22,smd,diff,無所属,2803785.768,185.53,24
h29-10-22,smd,diff,__TOTAL__,2482402.993,4.69,24
