election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h29-10-22,北海道,自由民主党,1107667,82096,1189763,26
h29-10-22,北海道,立憲民主党,604003,234162,838165,26
h29-10-22,北海道,希望の党,162745,90363,253108,26
h29-10-22,北海道,公明党,96795,,96795,26
h29-10-22,青森県,自由民主党,365462,,365462,26
h29-10-22,青森県,立憲民主党,,,,26
h29-10-22,青森県,希望の党,171280,,171280,26
h29-10-22,青森県,公明党,,,,26
h29-10-22,岩手県,自由民主党,226455,57381,283836,26
h29-10-22,岩手県,立憲民主党,,,,26
h29-10-22,岩手県,希望の党,186376,,186376,26
h29-10-22,岩手県,公明党,,,,26
h29-10-22,宮城県,自由民主党,552240,,552240,26
h29-10-22,宮城県,立憲民主党,,78704,78704,26
h29-10-22,宮城県,希望の党,99141,,99141,26
h29-10-22,宮城県,公明党,,,,26
h29-10-22,秋田県,自由民主党,261709,,261709,26
h29-10-22,秋田県,立憲民主党,,,,26
h29-10-22,秋田県,希望の党,220759.607,,220759.607,26
h29-10-22,秋田県,公明党,,,,26
h29-10-22,山形県,自由民主党,214176,103973.118,318149.118,26
h29-10-22,山形県,立憲民主党,,,,26
h29-10-22,山形県,希望の党,236150,,236150,26
h29-10-22,山形県,公明党,,,,26
h29-10-22,福島県,自由民主党,425155,,425155,26
h29-10-22,福島県,立憲民主党,,,,26
h29-10-22,福島県,希望の党,177928,,177928,26
h29-10-22,福島県,公明党,,,,26
h29-10-22,茨城県,自由民主党,477542,165437,642979,26
h29-10-22,茨城県,立憲民主党,,,,26
h29-10-22,茨城県,希望の党,322565,51060,373625,26
h29-10-22,茨城県,公明党,,,,26
h29-10-22,栃木県,自由民主党,449525,,449525,26
h29-10-22,栃木県,立憲民主党,,,,26
h29-10-22,栃木県,希望の党,168854,42820,211674,26
h29-10-22,栃木県,公明党,,,,26
h29-10-22,群馬県,自由民主党,265927,202094,468021,26
h29-10-22,群馬県,立憲民主党,67456,,67456,26
h29-10-22,群馬県,希望の党,156281,30127,186408,26
h29-10-22,群馬県,公明党,,,,26
h29-10-22,埼玉県,自由民主党,1217584,104500,1322084,26
h29-10-22,埼玉県,立憲民主党,119091,73250,192341,26
