election_id,tier,scope,block,prefecture,electors_male,electors_female,electors_total,voters_male,voters_female,voters_total,abstainers_male,abstainers_female,abstainers_total,source_page
h29-10-22,smd,all,,北海道,2137292,2447188,4584480,1300630,1463978,2764608,836662,983210,1819872,9
h29-10-22,smd,all,,青森県,526305,598935,1125240,287371,322157,609528,238934,276778,515712,9
h29-10-22,smd,all,,岩手県,513536,565530,1079066,307259,330957,638216,206277,234573,440850,9
h29-10-22,smd,all,,宮城県,939433,1004505,1943938,497307,529654,1026961,442126,474851,916977,9
h29-10-22,smd,all,,秋田県,412349,471603,883952,253704,281705,535409,158645,189898,348543,9
h29-10-22,smd,all,,山形県,449353,491082,940435,293678,308844,602522,155675,182238,337913,9
h29-10-22,smd,all,,福島県,789972,833309,1623281,449730,470550,920280,340242,362759,703001,9
h29-10-22,smd,all,,茨城県,1218694,1229415,2448109,636920,624640,1261560,581774,604775,1186549,9
h29-10-22,smd,all,,栃木県,816885,829677,1646562,429946,420541,850487,386939,409136,796075,9
h29-10-22,smd,all,,群馬県,806678,834802,1641480,425603,427482,853085,381075,407320,788395,9
h29-10-22,smd,all,,埼玉県,3041660,3053752,6095412,1580509,1555007,3135516,1461151,1498745,2959896,9
h29-10-22,smd,all,,千葉県,2598182,2626938,5225120,1306396,1300632,2607028,1291786,1326306,2618092,9
h29-10-22,smd,all,,東京都,5523348,5752742,11276090,2967750,3080626,6048376,2555598,2672116,5227714,9
h29-10-22,smd,all,,神奈川県,3787983,3825747,7613730,1981522,1975487,3957009,1806461,1850260,3656721,9
h29-10-22,smd,all,,新潟県,933276,1007236,1940512,596574,617421,1213995,336702,389815,726517,9
h29-10-22,smd,all,,富山県,431441,468516,899957,237875,248107,485982,193566,220409,413975,9
h29-10-22,smd,all,,石川県,458302,499581,957883,269764,287353,557117,188538,212228,400766,9
h29-10-22,smd,all,,福井県,314177,339057,653234,177499,187782,365281,136678,151275,287953,9
h29-10-22,smd,all,,山梨県,341038,359676,700714,207694,217675,425369,133344,142001,275345,9
h29-10-22,smd,all,,長野県,852874,907647,1760521,523129,540168,1063297,329745,367479,697224,9
h29-10-22,smd,all,,岐阜県,814543,874575,1689118,465256,489901,955157,349287,384674,733961,9
h29-10-22,smd,all,,静岡県,1518801,1578414,3097215,859235,885144,1744379,659566,693270,1352836,9
h29-10-22,smd,all,,愛知県,3045076,3055396,6100472,1686756,1647436,3334192,1358320,1407960,2766280,9
h29-10-22,smd,all,,三重県,730502,779420,1509922,418003,443983,861986,312499,335437,647936,9
h29-10-22,smd,all,,滋賀県,561919,589473,1151392,319469,328984,648453,242450,260489,502939,9
h29-10-22,smd,all,,京都府,1007816,1122070,2129886,524738,559399,1084137,483078,562671,1045749,9
h29-10-22,smd,all,,大阪府,3489399,3815936,7305335,1693604,1841764,3535368,1795795,1974172,3769967,9
h29-10-22,smd,all,,兵庫県,2187054,2435363,4622417,1076663,1170784,2247447,1110391,1264579,2374970,9
h29-10-22,smd,all,,奈良県,542052,614695,1156747,306769,337087,643856,235283,277608,512891,9
h29-10-22,smd,all,,和歌山県,387116,441713,828829,207856,231086,438942,179260,210627,389887,9
h29-10-22,smd,all,,鳥取県,226470,252611,479081,128123,142227,270350,98347,110384,208731,9
h29-10-22,smd,all,,島根県,274117,305439,579556,168276,183143,351419,105841,122296,228137,9
h29-10-22,smd,all,,岡山県,759229,834828,1594057,382735,415791,798526,376494,419037,795531,9
h29-10-22,smd,all,,広島県,1129382,1226122,2355504,571533,610151,1181684,557849,615971,1173820,9
h29-10-22,smd,all,,山口県,552697,628146,1180843,303774,348387,652161,248923,279759,528682,9
h29-10-22,smd,all,,徳島県,304335,340335,644670,143287,156307,299594,161048,184028,345076,9
h29-10-22,smd,all,,香川県,395803,433862,829665,211112,229275,440387,184691,204587,389278,9
h29-10-22,smd,all,,愛媛県,549519,627750,1177269,280922,316396,597318,268597,311354,579951,9
h29-10-22,smd,all,,高知県,288330,332250,620580,147851,174023,321874,140479,158227,298706,9
h29-10-22,smd,all,,福岡県,1974132,2253595,4227727,1047342,1206611,2253953,926790,1046984,1973774,9
h29-10-22,smd,all,,佐賀県,321276,367089,688365,191557,217744,409301,129719,149345,279064,9
h29-10-22,smd,all,,長崎県,534018,621001,1155019,307632,354032,661664,226386,266969,493355,9
h29-10-22,smd,all,,熊本県,692649,793666,1486315,396138,451380,847518,296511,342286,638797,9
h29-10-22,smd,all,,大分県,459041,521998,981039,261889,297153,559042,197152,224845,421997,9
h29-10-22,smd,all,,宮崎県,431373,494888,926261,219762,247825,467587,211611,247063,458674,9
h29-10-22,smd,all,,鹿児島県,638983,739859,1378842,362544,410787,773331,276439,329072,605511,9
h29-10-22,smd,all,,沖縄県,562572,592815,1155387,313987,337435,651422,248585,255380,503965,9
h29-10-22,smd,all,,合計,51270982,54820247,106091229,27727673,29225001,56952674,23543309,25595246,49138555,9
h29-10-22,smd,overseas,,北海道,1006,1448,2454,163,236,399,843,1212,2055,10
h29-10-22,smd,overseas,,青森県,159,306,465,25,25,50,134,281,415,10
h29-10-22,smd,overseas,,岩手県,227,355,582,48,43,91,179,312,491,10
h29-10-22,smd,overseas,,宮城県,408,642,1050,78,90,168,330,552,882,10
h29-10-22,smd,overseas,,秋田県,169,259,428,17,31,48,152,228,380,10
h29-10-22,smd,overseas,,山形県,255,344,599,44,43,87,211,301,512,10
h29-10-22,smd,overseas,,福島県,559,711,1270,56,77,133,503,634,1137,10
h29-10-22,smd,overseas,,茨城県,699,861,1560,146,165,311,553,696,1249,10
h29-10-22,smd,overseas,,栃木県,480,563,1043,99,96,195,381,467,848,10
h29-10-22,smd,overseas,,群馬県,474,615,1089,94,91,185,380,524,904,10
h29-10-22,smd,overseas,,埼玉県,2311,2635,4946,623,591,1214,1688,2044,3732,10
h29-10-22,smd,overseas,,千葉県,2682,2830,5512,719,593,1312,1963,2237,4200,10
h29-10-22,smd,overseas,,東京都,11818,13035,24853,3870,3430,7300,7948,9605,17553,10
h29-10-22,smd,overseas,,神奈川県,5400,5789,11189,1541,1277,2818,3859,4512,8371,10
h29-10-22,smd,overseas,,新潟県,349,656,1005,66,91,157,283,565,848,10
h29-10-22,smd,overseas,,富山県,233,259,492,44,35,79,189,224,413,10
h29-10-22,smd,overseas,,石川県,159,271,430,33,43,76,126,228,354,10
h29-10-22,smd,overseas,,福井県,139,189,328,28,32,60,111,157,268,10
h29-10-22,smd,overseas,,山梨県,229,321,550,28,45,73,201,276,477,10
h29-10-22,smd,overseas,,長野県,603,798,1401,101,122,223,502,676,1178,10
h29-10-22,smd,overseas,,岐阜県,391,534,925,74,90,164,317,444,761,10
h29-10-22,smd,overseas,,静岡県,1085,1251,2336,212,198,410,873,1053,1926,10
h29-10-22,smd,overseas,,愛知県,2106,2191,4297,470,414,884,1636,1777,3413,10
h29-10-22,smd,overseas,,三重県,433,488,921,60,84,144,373,404,777,10
h29-10-22,smd,overseas,,滋賀県,389,383,772,80,75,155,309,308,617,10
h29-10-22,smd,overseas,,京都府,736,927,1663,189,216,405,547,711,1258,10
h29-10-22,smd,overseas,,大阪府,2054,2714,4768,506,541,1047,1548,2173,3721,10
h29-10-22,smd,overseas,,兵庫県,1408,1867,3275,373,408,781,1035,1459,2494,10
h29-10-22,smd,overseas,,奈良県,325,439,764,79,81,160,246,358,604,10
h29-10-22,smd,overseas,,和歌山県,231,387,618,27,41,68,204,346,550,10
h29-10-22,smd,overseas,,鳥取県,93,187,280,18,31,49,75,156,231,10
h29-10-22,smd,overseas,,島根県,114,211,325,25,35,60,89,176,265,10
h29-10-22,smd,overseas,,岡山県,354,545,899,61,86,147,293,459,752,10
h29-10-22,smd,overseas,,広島県,707,1062,1769,109,139,248,598,923,1521,10
h29-10-22,smd,overseas,,山口県,391,608,999,54,63,117,337,545,882,10
h29-10-22,smd,overseas,,徳島県,119,195,314,19,22,41,100,173,273,10
h29-10-22,smd,overseas,,香川県,220,306,526,32,40,72,188,266,454,10
h29-10-22,smd,overseas,,愛媛県,315,429,744,35,47,82,280,382,662,10
h29-10-22,smd,overseas,,高知県,293,417,710,27,24,51,266,393,659,10
h29-10-22,smd,overseas,,福岡県,1095,1709,2804,182,274,456,913,1435,2348,10
h29-10-22,smd,overseas,,佐賀県,237,359,596,26,45,71,211,314,525,10
h29-10-22,smd,overseas,,長崎県,302,556,858,38,52,90,264,504,768,10
h29-10-22,smd,overseas,,熊本県,691,994,1685,35,83,118,656,911,1567,10
h29-10-22,smd,overseas,,大分県,177,303,480,26,44,70,151,259,410,10
