election_id,kind,section,status,party,male,female,total,dual_male,dual_female,dual_total,source_page
h29-10-22,candidacy,pr,新,幸福実現党,26,15,41,,,,4
h29-10-22,candidacy,pr,新,新党大地,,1,1,,,,4
h29-10-22,candidacy,pr,新,支持政党なし,3,1,4,,,,4
h29-10-22,candidacy,pr,前,立憲民主党,11,3,14,11,3,14,4
h29-10-22,candidacy,pr,前,日本のこころ,,,,,,,4
h29-10-22,candidacy,pr,前,幸福実現党,,,,,,,4
h29-10-22,candidacy,pr,前,新党大地,,,,,,,4
h29-10-22,candidacy,pr,前,支持政党なし,,,,,,,4
h29-10-22,candidacy,pr,元,立憲民主党,18,3,21,15,1,16,4
h29-10-22,candidacy,pr,元,日本のこころ,,,,,,,4
h29-10-22,candidacy,pr,元,幸福実現党,,,,,,,4
h29-10-22,candidacy,pr,元,新党大地,1,,1,,,,4
h29-10-22,candidacy,pr,元,支持政党なし,,,,,,,4
h29-10-22,candidacy,pr,計,立憲民主党,58,19,77,47,15,62,4
h29-10-22,candidacy,pr,計,日本のこころ,1,1,2,,,,4
h29-10-22,candidacy,pr,計,幸福実現党,26,15,41,,,,4
h29-10-22,candidacy,pr,計,新党大地,1,1,2,,,,4
h29-10-22,candidacy,pr,計,支持政党なし,3,1,4,,,,4
h29-10-22,candidacy,total,新,立憲民主党,29,13,42,,,,4
h29-10-22,candidacy,total,新,日本のこころ,1,1,2,,,,4
h29-10-22,candidacy,total,新,幸福実現党,26,15,41,,,,4
h29-10-22,candidacy,total,新,新党大地,,1,1,,,,4
h29-10-22,candidacy,total,新,支持政党なし,3,1,4,,,,4
h29-10-22,candidacy,total,前,立憲民主党,12,3,15,,,,4
h29-10-22,candidacy,total,前,日本のこころ,,,,,,,4
h29-10-22,candidacy,total,前,幸福実現党,,,,,,,4
h29-10-22,candidacy,total,前,新党大地,,,,,,,4
h29-10-22,candidacy,total,前,支持政党なし,,,,,,,4
h29-10-22,candidacy,total,元,立憲民主党,18,3,21,,,,4
h29-10-22,candidacy,total,元,日本のこころ,,,,,,,4
h29-10-22,candidacy,total,元,幸福実現党,,,,,,,4
h29-10-22,candidacy,total,元,新党大地,1,,1,,,,4
h29-10-22,candidacy,total,元,支持政党なし,,,,,,,4
h29-10-22,candidacy,total,計,立憲民主党,59,19,78,,,,4
h29-10-22,candidacy,total,計,日本のこころ,1,1,2,,,,4
h29-10-22,candidacy,total,計,幸福実現党,26,15,41,,,,4
h29-10-22,candidacy,total,計,新党大地,1,1,2,,,,4
h29-10-22,candidacy,total,計,支持政党なし,3,1,4,,,,4
h29-10-22,candidacy,smd,新,__TOTAL__,348,116,464,,,,5
h29-10-22,candidacy,smd,前,__TOTAL__,364,34,398,,,,5
h29-10-22,candidacy,smd,元,__TOTAL__,67,7,74,,,,5
h29-10-22,candidacy,smd,計,__TOTAL__,779,157,936,,,,5
h29-10-22,candidacy,pr,新,__TOTAL__,269,100,369,144,59,203,5
h29-10-22,candidacy,pr,前,__TOTAL__,352,36,388,308,28,336,5
h29-10-22,candidacy,pr,元,__TOTAL__,89,9,98,66,6,72,5
h29-10-22,candidacy,pr,計,__TOTAL__,710,145,855,518,93,611,5
h29-10-22,candidacy,total,新,__TOTAL__,473,157,630,,,,5
h29-10-22,candidacy,total,前,__TOTAL__,408,42,450,,,,5
h29-10-22,candidacy,total,元,__TOTAL__,90,10,100,,,,5
h29-10-22,candidacy,total,計,__TOTAL__,971,209,1180,,,,5
