election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
h26-12-14,smd,all,,北海道,57.90,55.00,56.35,60.17,57.48,58.73,-2.27,-2.48,-2.38,10
h26-12-14,smd,all,,青森県,48.73,45.16,46.83,55.87,52.73,54.20,-7.14,-7.57,-7.37,10
h26-12-14,smd,all,,岩手県,57.89,54.74,56.23,63.15,60.36,61.68,-5.26,-5.62,-5.45,10
h26-12-14,smd,all,,宮城県,50.60,47.96,49.23,56.69,53.90,55.24,-6.09,-5.94,-6.01,10
h26-12-14,smd,all,,秋田県,57.81,54.02,55.78,65.23,61.47,63.22,-7.42,-7.45,-7.44,10
h26-12-14,smd,all,,山形県,61.55,56.97,59.15,66.99,62.94,64.86,-5.44,-5.97,-5.71,10
h26-12-14,smd,all,,福島県,53.47,51.61,52.51,59.82,57.96,58.86,-6.35,-6.35,-6.35,10
h26-12-14,smd,all,,茨城県,56.10,54.39,55.24,59.90,57.81,58.85,-3.80,-3.42,-3.61,10
h26-12-14,smd,all,,栃木県,51.60,48.63,50.10,56.21,53.25,54.71,-4.61,-4.62,-4.61,10
h26-12-14,smd,all,,群馬県,52.87,50.61,51.72,58.58,56.14,57.33,-5.71,-5.53,-5.61,10
h26-12-14,smd,all,,埼玉県,52.97,50.98,51.97,58.33,56.48,57.40,-5.36,-5.50,-5.43,10
h26-12-14,smd,all,,千葉県,51.99,50.50,51.24,59.06,57.92,58.49,-7.07,-7.42,-7.25,10
h26-12-14,smd,all,,東京都,54.89,53.85,54.36,62.24,62.17,62.20,-7.35,-8.32,-7.84,10
h26-12-14,smd,all,,神奈川県,54.59,53.18,53.88,60.42,59.32,59.87,-5.83,-6.14,-5.99,10
h26-12-14,smd,all,,新潟県,55.43,50.20,52.71,62.34,57.20,59.66,-6.91,-7.00,-6.95,10
h26-12-14,smd,all,,富山県,49.72,45.40,47.46,59.00,54.97,56.89,-9.28,-9.57,-9.43,10
h26-12-14,smd,all,,石川県,51.05,47.45,49.16,63.20,60.76,61.92,-12.15,-13.31,-12.76,10
h26-12-14,smd,all,,福井県,51.80,48.33,50.00,63.40,60.23,61.75,-11.60,-11.90,-11.75,10
h26-12-14,smd,all,,山梨県,59.57,58.81,59.18,64.19,63.18,63.67,-4.62,-4.37,-4.49,10
h26-12-14,smd,all,,長野県,57.24,53.83,55.48,64.97,61.86,63.36,-7.73,-8.03,-7.88,10
h26-12-14,smd,all,,岐阜県,54.25,51.68,52.92,63.00,61.15,62.04,-8.75,-9.47,-9.12,10
h26-12-14,smd,all,,静岡県,56.47,54.78,55.61,62.34,61.19,61.75,-5.87,-6.41,-6.14,10
h26-12-14,smd,all,,愛知県,55.40,52.99,54.19,60.23,57.92,59.07,-4.83,-4.93,-4.88,10
h26-12-14,smd,all,,三重県,56.89,55.56,56.20,61.89,60.73,61.29,-5.00,-5.17,-5.09,10
h26-12-14,smd,all,,滋賀県,55.18,52.47,53.79,62.74,60.82,61.76,-7.56,-8.35,-7.97,10
h26-12-14,smd,all,,京都府,52.75,49.40,50.99,59.80,56.88,58.27,-7.05,-7.48,-7.28,10
h26-12-14,smd,all,,大阪府,51.06,50.32,50.67,58.43,58.32,58.37,-7.37,-8.00,-7.70,10
h26-12-14,smd,all,,兵庫県,51.96,49.87,50.86,59.50,57.78,58.59,-7.54,-7.91,-7.73,10
h26-12-14,smd,all,,奈良県,57.20,54.19,55.60,64.37,62.04,63.14,-7.17,-7.85,-7.54,10
h26-12-14,smd,all,,和歌山県,51.99,50.23,51.05,62.20,60.65,61.37,-10.21,-10.42,-10.32,10
h26-12-14,smd,all,,鳥取県,55.20,53.64,54.38,63.33,62.56,62.92,-8.13,-8.92,-8.54,10
h26-12-14,smd,all,,島根県,60.56,58.07,59.24,66.92,64.69,65.74,-6.36,-6.62,-6.50,10
h26-12-14,smd,all,,岡山県,51.38,49.90,50.60,56.08,54.54,55.27,-4.70,-4.64,-4.67,10
h26-12-14,smd,all,,広島県,50.80,49.30,50.02,57.48,56.10,56.76,-6.68,-6.80,-6.74,10
h26-12-14,smd,all,,山口県,53.29,52.88,53.07,60.11,59.97,60.04,-6.82,-7.09,-6.97,10
h26-12-14,smd,all,,徳島県,48.20,46.35,47.22,58.67,57.09,57.83,-10.47,-10.74,-10.61,10
h26-12-14,smd,all,,香川県,51.49,49.72,50.56,59.67,58.47,59.04,-8.18,-8.75,-8.48,10
h26-12-14,smd,all,,愛媛県,50.59,49.11,49.80,60.16,59.03,59.56,-9.57,-9.92,-9.76,10
h26-12-14,smd,all,,高知県,50.71,51.21,50.98,53.57,54.17,53.89,-2.86,-2.96,-2.91,10
h26-12-14,smd,all,,福岡県,49.23,48.44,48.81,57.56,57.14,57.34,-8.33,-8.70,-8.53,10
h26-12-14,smd,all,,佐賀県,58.29,57.32,57.77,62.46,61.35,61.86,-4.17,-4.03,-4.09,10
h26-12-14,smd,all,,長崎県,52.21,50.20,51.13,60.84,59.49,60.11,-8.63,-9.29,-8.98,10
h26-12-14,smd,all,,熊本県,51.12,49.14,50.06,59.58,57.62,58.53,-8.46,-8.48,-8.47,10
h26-12-14,smd,all,,大分県,56.68,55.61,56.11,62.63,61.77,62.17,-5.95,-6.16,-6.06,10
h26-12-14,smd,all,,宮崎県,50.34,49.44,49.86,56.53,54.97,55.69,-6.19,-5.53,-5.83,10
h26-12-14,smd,all,,鹿児島県,51.68,49.44,50.47,58.07,55.70,56.79,-6.39,-6.26,-6.32,10
h26-12-14,smd,all,,沖縄県,52.89,51.86,52.36,56.29,55.76,56.02,-3.40,-3.90,-3.66,10
h26-12-14,smd,all,,合計,53.66,51.72,52.66,60.14,58.55,59.32,-6.48,-6.83,-6.66,10
h26-12-14,smd,overseas,,北海道,15.71,13.54,14.46,16.36,13.10,14.50,-0.65,0.44,-0.04,12
h26-12-14,smd,overseas,,青森県,14.97,10.00,11.70,11.76,7.10,8.70,3.21,2.90,3.00,12
h26-12-14,smd,overseas,,岩手県,18.03,8.36,12.27,17.32,11.78,14.05,0.71,-3.42,-1.78,12
h26-12-14,smd,overseas,,宮城県,14.29,10.15,11.84,16.30,12.72,14.23,-2.01,-2.57,-2.39,12
h26-12-14,smd,overseas,,秋田県,12.36,12.40,12.39,11.96,12.06,12.02,0.40,0.34,0.37,12
h26-12-14,smd,overseas,,山形県,11.94,9.77,10.71,14.01,9.54,11.57,-2.07,0.23,-0.86,12
h26-12-14,smd,overseas,,福島県,11.55,9.19,10.28,10.94,9.77,10.33,0.61,-0.58,-0.05,12
h26-12-14,smd,overseas,,茨城県,22.38,16.08,19.09,24.56,16.48,20.45,-2.18,-0.40,-1.36,12
h26-12-14,smd,overseas,,栃木県,16.87,15.79,16.33,19.15,15.15,17.16,-2.28,0.64,-0.83,12
h26-12-14,smd,overseas,,群馬県,14.46,12.14,13.18,16.99,12.78,14.77,-2.53,-0.64,-1.59,12
h26-12-14,smd,overseas,,埼玉県,23.31,19.63,21.44,27.66,20.60,24.17,-4.35,-0.97,-2.73,12
h26-12-14,smd,overseas,,千葉県,25.95,19.97,23.00,28.45,20.15,24.52,-2.50,-0.18,-1.52,12
h26-12-14,smd,overseas,,東京都,28.55,21.80,25.08,31.89,24.10,27.98,-3.34,-2.30,-2.90,12
