election_id,kind,prefecture,seats,party,new,incumbent,former,total,source_page
h26-12-14,winners,北海道,12,自由民主党,,8,,8,20
h26-12-14,winners,北海道,12,民主党,,1,2,3,20
h26-12-14,winners,北海道,12,維新の党,,,,,20
h26-12-14,winners,北海道,12,公明党,,1,,1,20
h26-12-14,winners,北海道,12,日本共産党,,,,,20
h26-12-14,winners,北海道,12,次世代の党,,,,,20
h26-12-14,winners,北海道,12,社会民主党,,,,,20
h26-12-14,winners,北海道,12,生活の党,,,,,20
h26-12-14,winners,青森県,4,自由民主党,,4,,4,20
h26-12-14,winners,青森県,4,民主党,,,,,20
h26-12-14,winners,青森県,4,維新の党,,,,,20
h26-12-14,winners,青森県,4,公明党,,,,,20
h26-12-14,winners,青森県,4,日本共産党,,,,,20
h26-12-14,winners,青森県,4,次世代の党,,,,,20
h26-12-14,winners,青森県,4,社会民主党,,,,,20
h26-12-14,winners,青森県,4,生活の党,,,,,20
h26-12-14,winners,岩手県,4,自由民主党,,1,,1,20
h26-12-14,winners,岩手県,4,民主党,,2,,2,20
h26-12-14,winners,岩手県,4,維新の党,,,,,20
h26-12-14,winners,岩手県,4,公明党,,,,,20
h26-12-14,winners,岩手県,4,日本共産党,,,,,20
h26-12-14,winners,岩手県,4,次世代の党,,,,,20
h26-12-14,winners,岩手県,4,社会民主党,,,,,20
h26-12-14,winners,岩手県,4,生活の党,,1,,1,20
h26-12-14,winners,宮城県,6,自由民主党,,5,,5,20
h26-12-14,winners,宮城県,6,民主党,,1,,1,20
h26-12-14,winners,宮城県,6,維新の党,,,,,20
h26-12-14,winners,宮城県,6,公明党,,,,,20
h26-12-14,winners,宮城県,6,日本共産党,,,,,20
h26-12-14,winners,宮城県,6,次世代の党,,,,,20
h26-12-14,winners,宮城県,6,社会民主党,,,,,20
h26-12-14,winners,宮城県,6,生活の党,,,,,20
h26-12-14,winners,秋田県,3,自由民主党,,3,,3,20
h26-12-14,winners,秋田県,3,民主党,,,,,20
h26-12-14,winners,秋田県,3,維新の党,,,,,20
h26-12-14,winners,秋田県,3,公明党,,,,,20
h26-12-14,winners,秋田県,3,日本共産党,,,,,20
h26-12-14,winners,秋田県,3,次世代の党,,,,,20
h26-12-14,winners,秋田県,3,社会民主党,,,,,20
h26-12-14,winners,秋田県,3,生活の党,,,,,20
h26-12-14,winners,山形県,3,自由民主党,1,2,,3,20
h26-12-14,winners,山形県,3,民主党,,,,,20
h26-12-14,winners,山形県,3,維新の党,,,,,20
h26-12-14,winners,山形県,3,公明党,,,,,20
h26-12-14,winners,山形県,3,日本共産党,,,,,20
h26-12-14,winners,山形県,3,次世代の党,,,,,20
h26-12-14,winners,山形県,3,社会民主党,,,,,20
h26-12-14,winners,山形県,3,生活の党,,,,,20
h26-12-14,winners,福島県,5,自由民主党,,3,,3,20
h26-12-14,winners,福島県,5,民主党,,1,,1,20
h26-12-14,winners,福島県,5,維新の党,,1,,1,20
h26-12-14,winners,福島県,5,公明党,,,,,20
h26-12-14,winners,福島県,5,日本共産党,,,,,20
h26-12-14,winners,福島県,5,次世代の党,,,,,20
h26-12-14,winners,福島県,5,社会民主党,,,,,20
h26-12-14,winners,福島県,5,生活の党,,,,,20
h26-12-14,winners,茨城県,7,自由民主党,,5,,5,20
h26-12-14,winners,茨城県,7,民主党,,1,,1,20
h26-12-14,winners,茨城県,7,維新の党,,,,,20
h26-12-14,winners,茨城県,7,公明党,,,,,20
h26-12-14,winners,茨城県,7,日本共産党,,,,,20
h26-12-14,winners,茨城県,7,次世代の党,,,,,20
h26-12-14,winners,茨城県,7,社会民主党,,,,,20
h26-12-14,winners,茨城県,7,生活の党,,,,,20
h26-12-14,winners,栃木県,5,自由民主党,,4,,4,20
h26-12-14,winners,栃木県,5,民主党,,1,,1,20
h26-12-14,winners,栃木県,5,維新の党,,,,,20
h26-12-14,winners,栃木県,5,公明党,,,,,20
h26-12-14,winners,栃木県,5,日本共産党,,,,,20
h26-12-14,winners,栃木県,5,次世代の党,,,,,20
h26-12-14,winners,栃木県,5,社会民主党,,,,,20
h26-12-14,winners,栃木県,5,生活の党,,,,,20
h26-12-14,winners,群馬県,5,自由民主党,,5,,5,20
h26-12-14,winners,群馬県,5,民主党,,,,,20
h26-12-14,winners,群馬県,5,維新の党,,,,,20
h26-12-14,winners,群馬県,5,公明党,,,,,20
h26-12-14,winners,群馬県,5,日本共産党,,,,,20
h26-12-14,winners,群馬県,5,次世代の党,,,,,20
h26-12-14,winners,群馬県,5,社会民主党,,,,,20
h26-12-14,winners,群馬県,5,生活の党,,,,,20
h26-12-14,winners,埼玉県,15,自由民主党,,12,,12,20
h26-12-14,winners,埼玉県,15,民主党,,2,,2,20
h26-12-14,winners,埼玉県,15,維新の党,,,,,20
h26-12-14,winners,埼玉県,15,公明党,,,,,20
h26-12-14,winners,埼玉県,15,日本共産党,,,,,20
h26-12-14,winners,埼玉県,15,次世代の党,,,,,20
h26-12-14,winners,埼玉県,15,社会民主党,,,,,20
h26-12-14,winners,埼玉県,15,生活の党,,,,,20
h26-12-14,winners,千葉県,13,自由民主党,,11,,11,20
h26-12-14,winners,千葉県,13,民主党,,2,,2,20
h26-12-14,winners,千葉県,13,維新の党,,,,,20
h26-12-14,winners,千葉県,13,公明党,,,,,20
h26-12-14,winners,千葉県,13,日本共産党,,,,,20
h26-12-14,winners,千葉県,13,次世代の党,,,,,20
h26-12-14,winners,千葉県,13,社会民主党,,,,,20
h26-12-14,winners,千葉県,13,生活の党,,,,,20
h26-12-14,winners,東京都,25,自由民主党,,22,,22,20
h26-12-14,winners,東京都,25,民主党,,1,,1,20
h26-12-14,winners,東京都,25,維新の党,,1,,1,20
h26-12-14,winners,東京都,25,公明党,,1,,1,20
h26-12-14,winners,東京都,25,日本共産党,,,,,20
