election_id,kind,prefecture,age_band,count,source_page
h26-12-14,candidacy,群馬県,30歳～34歳,1,8
h26-12-14,candidacy,群馬県,35歳～39歳,,8
h26-12-14,candidacy,群馬県,40歳～44歳,4,8
h26-12-14,candidacy,群馬県,45歳～49歳,3,8
h26-12-14,candidacy,群馬県,50歳～54歳,1,8
h26-12-14,candidacy,群馬県,55歳～59歳,1,8
h26-12-14,candidacy,群馬県,60歳～64歳,3,8
h26-12-14,candidacy,群馬県,65歳～69歳,2,8
h26-12-14,candidacy,群馬県,70歳以上,,8
h26-12-14,candidacy,群馬県,計,15,8
h26-12-14,candidacy,埼玉県,25歳～29歳,1,8
h26-12-14,candidacy,埼玉県,30歳～34歳,2,8
h26-12-14,candidacy,埼玉県,35歳～39歳,4,8
h26-12-14,candidacy,埼玉県,40歳～44歳,11,8
h26-12-14,candidacy,埼玉県,45歳～49歳,4,8
h26-12-14,candidacy,埼玉県,50歳～54歳,6,8
h26-12-14,candidacy,埼玉県,55歳～59歳,8,8
h26-12-14,candidacy,埼玉県,60歳～64歳,7,8
h26-12-14,candidacy,埼玉県,65歳～69歳,4,8
h26-12-14,candidacy,埼玉県,70歳以上,1,8
h26-12-14,candidacy,埼玉県,計,48,8
h26-12-14,candidacy,千葉県,25歳～29歳,1,8
h26-12-14,candidacy,千葉県,30歳～34歳,2,8
h26-12-14,candidacy,千葉県,35歳～39歳,6,8
h26-12-14,candidacy,千葉県,40歳～44歳,5,8
h26-12-14,candidacy,千葉県,45歳～49歳,2,8
h26-12-14,candidacy,千葉県,50歳～54歳,6,8
h26-12-14,candidacy,千葉県,55歳～59歳,8,8
h26-12-14,candidacy,千葉県,60歳～64歳,6,8
h26-12-14,candidacy,千葉県,65歳～69歳,7,8
h26-12-14,candidacy,千葉県,70歳以上,2,8
h26-12-14,candidacy,千葉県,計,45,8
h26-12-14,candidacy,東京都,25歳～29歳,4,8
h26-12-14,candidacy,東京都,30歳～34歳,5,8
h26-12-14,candidacy,東京都,35歳～39歳,11,8
h26-12-14,candidacy,東京都,40歳～44歳,17,8
h26-12-14,candidacy,東京都,45歳～49歳,12,8
h26-12-14,candidacy,東京都,50歳～54歳,14,8
h26-12-14,candidacy,東京都,55歳～59歳,12,8
h26-12-14,candidacy,東京都,60歳～64歳,4,8
h26-12-14,candidacy,東京都,65歳～69歳,14,8
h26-12-14,candidacy,東京都,70歳以上,4,8
h26-12-14,candidacy,東京都,計,97,8
h26-12-14,candidacy,神奈川県,25歳～29歳,4,8
h26-12-14,candidacy,神奈川県,30歳～34歳,5,8
h26-12-14,candidacy,神奈川県,35歳～39歳,9,8
h26-12-14,candidacy,神奈川県,40歳～44歳,4,8
h26-12-14,candidacy,神奈川県,45歳～49歳,11,8
h26-12-14,candidacy,神奈川県,50歳～54歳,12,8
h26-12-14,candidacy,神奈川県,55歳～59歳,8,8
h26-12-14,candidacy,神奈川県,60歳～64歳,5,8
h26-12-14,candidacy,神奈川県,65歳～69歳,6,8
h26-12-14,candidacy,神奈川県,70歳以上,1,8
h26-12-14,candidacy,神奈川県,計,65,8
h26-12-14,candidacy,新潟県,25歳～29歳,,8
h26-12-14,candidacy,新潟県,30歳～34歳,2,8
h26-12-14,candidacy,新潟県,35歳～39歳,3,8
h26-12-14,candidacy,新潟県,40歳～44歳,2,8
h26-12-14,candidacy,新潟県,45歳～49歳,5,8
h26-12-14,candidacy,新潟県,50歳～54歳,3,8
h26-12-14,candidacy,新潟県,55歳～59歳,2,8
h26-12-14,candidacy,新潟県,60歳～64歳,2,8
h26-12-14,candidacy,新潟県,65歳～69歳,,8
h26-12-14,candidacy,新潟県,70歳以上,,8
h26-12-14,candidacy,新潟県,計,19,8
h26-12-14,candidacy,富山県,25歳～29歳,,8
h26-12-14,candidacy,富山県,30歳～34歳,,8
h26-12-14,candidacy,富山県,35歳～39歳,,8
h26-12-14,candidacy,富山県,40歳～44歳,3,8
h26-12-14,candidacy,富山県,45歳～49歳,,8
h26-12-14,candidacy,富山県,50歳～54歳,3,8
h26-12-14,candidacy,富山県,55歳～59歳,1,8
h26-12-14,candidacy,富山県,60歳～64歳,1,8
h26-12-14,candidacy,富山県,65歳～69歳,,8
h26-12-14,candidacy,富山県,70歳以上,,8
h26-12-14,candidacy,富山県,計,8,8
h26-12-14,candidacy,石川県,25歳～29歳,1,8
h26-12-14,candidacy,石川県,30歳～34歳,,8
h26-12-14,candidacy,石川県,35歳～39歳,1,8
h26-12-14,candidacy,石川県,40歳～44歳,2,8
h26-12-14,candidacy,石川県,45歳～49歳,1,8
h26-12-14,candidacy,石川県,50歳～54歳,1,8
h26-12-14,candidacy,石川県,55歳～59歳,,8
h26-12-14,candidacy,石川県,60歳～64歳,1,8
h26-12-14,candidacy,石川県,65歳～69歳,2,8
