election_id,tier,scope,block,prefecture,electors_male,electors_female,electors_total,voters_male,voters_female,voters_total,abstainers_male,abstainers_female,abstainers_total,source_page
h26-12-14,pr,overseas,九州,福岡県,1135,1693,2828,158,214,372,977,1479,2456,15
h26-12-14,pr,overseas,九州,佐賀県,252,360,612,25,40,65,227,320,547,15
h26-12-14,pr,overseas,九州,長崎県,332,577,909,39,53,92,293,524,817,15
h26-12-14,pr,overseas,九州,熊本県,762,1022,1784,45,74,119,717,948,1665,15
h26-12-14,pr,overseas,九州,大分県,188,305,493,36,44,80,152,261,413,15
h26-12-14,pr,overseas,九州,宮崎県,221,360,581,31,38,69,190,322,512,15
h26-12-14,pr,overseas,九州,鹿児島県,518,692,1210,52,65,117,466,627,1093,15
h26-12-14,pr,overseas,九州,沖縄県,1654,2203,3857,59,81,140,1595,2122,3717,15
h26-12-14,pr,overseas,九州,計,5062,7212,12274,445,609,1054,4617,6603,11220,15
h26-12-14,pr,overseas,,合計,48738,55582,104320,10430,9251,19681,38308,46331,84639,15
