election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,兵庫県,民主党,264639,,264639,26
h26-12-14,兵庫県,維新の党,323397,60337,383734,26
h26-12-14,兵庫県,公明党,172818,,172818,26
h26-12-14,奈良県,自由民主党,233249,96218,329467,26
h26-12-14,奈良県,民主党,121315,,121315,26
h26-12-14,奈良県,維新の党,,46556,46556,26
h26-12-14,奈良県,公明党,,,,26
h26-12-14,和歌山県,自由民主党,239361,,239361,26
h26-12-14,和歌山県,民主党,67740,,67740,26
h26-12-14,和歌山県,維新の党,39799,,39799,26
h26-12-14,和歌山県,公明党,,,,26
h26-12-14,鳥取県,自由民主党,169684,,169684,26
h26-12-14,鳥取県,民主党,49297,,49297,26
h26-12-14,鳥取県,維新の党,,,,26
h26-12-14,鳥取県,公明党,,,,26
h26-12-14,島根県,自由民主党,223960,,223960,26
h26-12-14,島根県,民主党,38346,,38346,26
h26-12-14,島根県,維新の党,,,,26
h26-12-14,島根県,公明党,,,,26
h26-12-14,岡山県,自由民主党,358653,57647,416300,26
h26-12-14,岡山県,民主党,132289,,132289,26
h26-12-14,岡山県,維新の党,56135,,56135,26
h26-12-14,岡山県,公明党,,,,26
h26-12-14,広島県,自由民主党,636843,,636843,26
h26-12-14,広島県,民主党,143783,40000,183783,26
h26-12-14,広島県,維新の党,,25452,25452,26
h26-12-14,広島県,公明党,,,,26
h26-12-14,山口県,自由民主党,410960.784,,410960.784,26
h26-12-14,山口県,民主党,87143,,87143,26
h26-12-14,山口県,維新の党,39375.213,,39375.213,26
h26-12-14,山口県,公明党,,,,26
h26-12-14,徳島県,自由民主党,178145,,178145,26
h26-12-14,徳島県,民主党,69188,,69188,26
h26-12-14,徳島県,維新の党,,,,26
h26-12-14,徳島県,公明党,,,,26
h26-12-14,香川県,自由民主党,207714,,207714,26
h26-12-14,香川県,民主党,144607,,144607,26
h26-12-14,香川県,維新の党,,,,26
h26-12-14,香川県,公明党,,,,26
h26-12-14,愛媛県,自由民主党,288951.292,,288951.292,26
h26-12-14,愛媛県,民主党,52602.705,74508,127110.705,26
h26-12-14,愛媛県,維新の党,22677,20222,42899,26
h26-12-14,愛媛県,公明党,,,,26
h26-12-14,高知県,自由民主党,162043,,162043,26
h26-12-14,高知県,民主党,80799,,80799,26
h26-12-14,高知県,維新の党,,,,26
h26-12-14,高知県,公明党,,,,26
h26-12-14,福岡県,自由民主党,1015132,,1015132,26
h26-12-14,福岡県,民主党,330770,65395,396165,26
h26-12-14,福岡県,維新の党,54663,,54663,26
h26-12-14,福岡県,公明党,,,,26
h26-12-14,佐賀県,自由民主党,197495,,197495,26
h26-12-14,佐賀県,民主党,168286,,168286,26
h26-12-14,佐賀県,維新の党,,,,26
h26-12-14,佐賀県,公明党,,,,26
h26-12-14,長崎県,自由民主党,306493,,306493,26
h26-12-14,長崎県,民主党,182832,,182832,26
h26-12-14,長崎県,維新の党,,,,26
h26-12-14,長崎県,公明党,,,,26
h26-12-14,熊本県,自由民主党,368682,,368682,26
h26-12-14,熊本県,民主党,,,,26
h26-12-14,熊本県,維新の党,73274,,73274,26
h26-12-14,熊本県,公明党,,,,26
h26-12-14,大分県,自由民主党,281127,,281127,26
h26-12-14,大分県,民主党,143282,,143282,26
h26-12-14,大分県,維新の党,,,,26
h26-12-14,大分県,公明党,,,,26
h26-12-14,宮崎県,自由民主党,309072,,309072,26
h26-12-14,宮崎県,民主党,23127,,23127,26
h26-12-14,宮崎県,維新の党,39394,,39394,26
h26-12-14,宮崎県,公明党,,,,26
h26-12-14,鹿児島県,自由民主党,404265.679,,404265.679,26
h26-12-14,鹿児島県,民主党,47315,,47315,26
h26-12-14,鹿児島県,維新の党,30133,,30133,26
h26-12-14,鹿児島県,公明党,,,,26
h26-12-14,沖縄県,自由民主党,171235,59491,230726,26
h26-12-14,沖縄県,民主党,,,,26
h26-12-14,沖縄県,維新の党,34328,,34328,26
h26-12-14,沖縄県,公明党,,,,26
h26-12-14,合計,自由民主党,23578847.922,1882601,25461448.922,26
h26-12-14,合計,民主党,10259925.274,1656924,11916849.274,26
h26-12-14,合計,維新の党,3929079.823,390566,4319645.823,26
h26-12-14,合計,公明党,765390,,765390,26
