election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r06-10-27,京都府,公明党,,,,28
r06-10-27,大阪府,自由民主党,771491,125992,897483,28
r06-10-27,大阪府,立憲民主党,102689,78848,181537,28
r06-10-27,大阪府,日本維新の会,1644485,,1644485,28
r06-10-27,大阪府,公明党,187037,55474,242511,28
r06-10-27,兵庫県,自由民主党,680302,,680302,28
r06-10-27,兵庫県,立憲民主党,402058,103157,505215,28
r06-10-27,兵庫県,日本維新の会,448976,132499,581475,28
r06-10-27,兵庫県,公明党,141802,,141802,28
r06-10-27,奈良県,自由民主党,165593,128554,294147,28
r06-10-27,奈良県,立憲民主党,159795,,159795,28
r06-10-27,奈良県,日本維新の会,85297,34354,119651,28
r06-10-27,奈良県,公明党,,,,28
r06-10-27,和歌山県,自由民主党,141983,,141983,28
r06-10-27,和歌山県,立憲民主党,25067,33147,58214,28
r06-10-27,和歌山県,日本維新の会,,70745,70745,28
r06-10-27,和歌山県,公明党,,,,28
r06-10-27,鳥取県,自由民主党,188196,,188196,28
r06-10-27,鳥取県,立憲民主党,56085,,56085,28
r06-10-27,鳥取県,日本維新の会,,,,28
r06-10-27,鳥取県,公明党,,,,28
r06-10-27,島根県,自由民主党,99829,63238,163067,28
r06-10-27,島根県,立憲民主党,,122786,122786,28
r06-10-27,島根県,日本維新の会,,,,28
r06-10-27,島根県,公明党,,,,28
r06-10-27,岡山県,自由民主党,371951,,371951,28
r06-10-27,岡山県,立憲民主党,232590,59781,292371,28
r06-10-27,岡山県,日本維新の会,11094,,11094,28
r06-10-27,岡山県,公明党,,,,28
r06-10-27,広島県,自由民主党,433623,,433623,28
r06-10-27,広島県,立憲民主党,253594,,253594,28
r06-10-27,広島県,日本維新の会,142402,,142402,28
r06-10-27,広島県,公明党,86654,,86654,28
r06-10-27,山口県,自由民主党,320216,,320216,28
r06-10-27,山口県,立憲民主党,103161,40237,143398,28
r06-10-27,山口県,日本維新の会,32259,,32259,28
r06-10-27,山口県,公明党,,,,28
r06-10-27,徳島県,自由民主党,141216,,141216,28
r06-10-27,徳島県,立憲民主党,54839,,54839,28
r06-10-27,徳島県,日本維新の会,11122,20270,31392,28
r06-10-27,徳島県,公明党,,,,28
r06-10-27,香川県,自由民主党,153278,,153278,28
r06-10-27,香川県,立憲民主党,82549,29900,112449,28
r06-10-27,香川県,日本維新の会,15902,11730,27632,28
r06-10-27,香川県,公明党,,,,28
r06-10-27,愛媛県,自由民主党,288141,,288141,28
r06-10-27,愛媛県,立憲民主党,184855,,184855,28
r06-10-27,愛媛県,日本維新の会,17417,,17417,28
r06-10-27,愛媛県,公明党,,,,28
r06-10-27,高知県,自由民主党,191611,,191611,28
r06-10-27,高知県,立憲民主党,55750,,55750,28
r06-10-27,高知県,日本維新の会,,,,28
r06-10-27,高知県,公明党,,,,28
r06-10-27,福岡県,自由民主党,796881,,796881,28
r06-10-27,福岡県,立憲民主党,339146.819,83588,422734.819,28
r06-10-27,福岡県,日本維新の会,224592.178,,224592.178,28
r06-10-27,福岡県,公明党,,,,28
r06-10-27,佐賀県,自由民主党,156277,,156277,28
r06-10-27,佐賀県,立憲民主党,191664,,191664,28
r06-10-27,佐賀県,日本維新の会,,,,28
r06-10-27,佐賀県,公明党,,,,28
r06-10-27,長崎県,自由民主党,235407,,235407,28
r06-10-27,長崎県,立憲民主党,150302,,150302,28
r06-10-27,長崎県,日本維新の会,46151,,46151,28
r06-10-27,長崎県,公明党,,,,28
r06-10-27,熊本県,自由民主党,437323,,437323,28
r06-10-27,熊本県,立憲民主党,64238,49672,113910,28
r06-10-27,熊本県,日本維新の会,36203,,36203,28
r06-10-27,熊本県,公明党,,,,28
r06-10-27,大分県,自由民主党,185438,,185438,28
r06-10-27,大分県,立憲民主党,57234,60207,117441,28
r06-10-27,大分県,日本維新の会,,,,28
r06-10-27,大分県,公明党,,,,28
r06-10-27,宮崎県,自由民主党,217686,,217686,28
r06-10-27,宮崎県,立憲民主党,79605,,79605,28
r06-10-27,宮崎県,日本維新の会,24846,,24846,28
r06-10-27,宮崎県,公明党,,,,28
r06-10-27,鹿児島県,自由民主党,318182.422,,318182.422,28
r06-10-27,鹿児島県,立憲民主党,183680,,183680,28
r06-10-27,鹿児島県,日本維新の会,19649,,19649,28
r06-10-27,鹿児島県,公明党,,,,28
r06-10-27,沖縄県,自由民主党,150665,73226,223891,28
r06-10-27,沖縄県,立憲民主党,118705,,118705,28
r06-10-27,沖縄県,日本維新の会,35440.878,,35440.878,28
r06-10-27,沖縄県,公明党,,,,28
r06-10-27,合計,自由民主党,18807778.299,2059984,20867762.299,28
r06-10-27,合計,立憲民主党,12335277.279,3405583,15740860.279,28
r06-10-27,合計,日本維新の会,5138329.056,909774.596,6048103.652,28
r06-10-27,合計,公明党,674927,55474,730401,28
r06-10-27,北海道,日本共産党,78940,95284,174224,29
r06-10-27,北海道,国民民主党,,,,29
r06-10-27,北海道,れいわ新選組,,,,29
r06-10-27,北海道,社会民主党,,,,29
r06-10-27,青森県,日本共産党,9397,18212,27609,29
r06-10-27,青森県,国民民主党,33569,,33569,29
r06-10-27,青森県,れいわ新選組,,,,29
r06-10-27,青森県,社会民主党,,,,29
r06-10-27,岩手県,日本共産党,,15367,15367,29
r06-10-27,岩手県,国民民主党,,,,29
r06-10-27,岩手県,れいわ新選組,,,,29
r06-10-27,岩手県,社会民主党,,,,29
r06-10-27,宮城県,日本共産党,18413,,18413,29
r06-10-27,宮城県,国民民主党,,,,29
r06-10-27,宮城県,れいわ新選組,12913,,12913,29
r06-10-27,宮城県,社会民主党,,,,29
r06-10-27,秋田県,日本共産党,15942,,15942,29
r06-10-27,秋田県,国民民主党,83001,,83001,29
r06-10-27,秋田県,れいわ新選組,,,,29
r06-10-27,秋田県,社会民主党,,,,29
r06-10-27,山形県,日本共産党,28161,,28161,29
r06-10-27,山形県,国民民主党,56359,,56359,29
r06-10-27,山形県,れいわ新選組,15811,,15811,29
r06-10-27,山形県,社会民主党,,,,29
r06-10-27,福島県,日本共産党,31594,12594,44188,29
r06-10-27,福島県,国民民主党,,,,29
r06-10-27,福島県,れいわ新選組,,,,29
r06-10-27,福島県,社会民主党,,,,29
r06-10-27,茨城県,日本共産党,40273,47434,87707,29
r06-10-27,茨城県,国民民主党,64351,,64351,29
r06-10-27,茨城県,れいわ新選組,,14783,14783,29
r06-10-27,茨城県,社会民主党,,,,29
r06-10-27,栃木県,日本共産党,18475,25203,43678,29
r06-10-27,栃木県,国民民主党,,,,29
r06-10-27,栃木県,れいわ新選組,,,,29
r06-10-27,栃木県,社会民主党,,,,29
r06-10-27,群馬県,日本共産党,59409,20330,79739,29
r06-10-27,群馬県,国民民主党,,,,29
r06-10-27,群馬県,れいわ新選組,,,,29
r06-10-27,群馬県,社会民主党,,,,29
r06-10-27,埼玉県,日本共産党,77892,174087,251979,29
r06-10-27,埼玉県,国民民主党,184772.745,,184772.745,29
r06-10-27,埼玉県,れいわ新選組,37532,,37532,29
r06-10-27,埼玉県,社会民主党,,,,29
r06-10-27,千葉県,日本共産党,136677.385,74645,211322.385,29
r06-10-27,千葉県,国民民主党,51749,51033,102782,29
r06-10-27,千葉県,れいわ新選組,45616,10547,56163,29
r06-10-27,千葉県,社会民主党,4705.429,,4705.429,29
r06-10-27,東京都,日本共産党,346418,127586,474004,29
r06-10-27,東京都,国民民主党,307821,187347,495168,29
r06-10-27,東京都,れいわ新選組,,54507,54507,29
r06-10-27,東京都,社会民主党,,,,29
r06-10-27,神奈川県,日本共産党,115763,128051,243814,29
r06-10-27,神奈川県,国民民主党,103174,,103174,29
r06-10-27,神奈川県,れいわ新選組,27535,,27535,29
r06-10-27,神奈川県,社会民主党,39980,,39980,29
r06-10-27,新潟県,日本共産党,10845,,10845,29
r06-10-27,新潟県,国民民主党,,,,29
r06-10-27,新潟県,れいわ新選組,,,,29
r06-10-27,新潟県,社会民主党,,,,29
r06-10-27,富山県,日本共産党,35372,,35372,29
r06-10-27,富山県,国民民主党,46676,,46676,29
r06-10-27,富山県,れいわ新選組,,,,29
r06-10-27,富山県,社会民主党,,,,29
r06-10-27,石川県,日本共産党,23224.349,,23224.349,29
r06-10-27,石川県,国民民主党,24324,,24324,29
r06-10-27,石川県,れいわ新選組,,,,29
r06-10-27,石川県,社会民主党,,,,29
r06-10-27,福井県,日本共産党,3934,11215,15149,29
r06-10-27,福井県,国民民主党,,,,29
r06-10-27,福井県,れいわ新選組,,,,29
r06-10-27,福井県,社会民主党,,,,29
r06-10-27,山梨県,日本共産党,12601,35569,48170,29
r06-10-27,山梨県,国民民主党,,,,29
r06-10-27,山梨県,れいわ新選組,,,,29
r06-10-27,山梨県,社会民主党,,,,29
r06-10-27,長野県,日本共産党,64686,,64686,29
r06-10-27,長野県,国民民主党,,,,29
r06-10-27,長野県,れいわ新選組,,,,29
r06-10-27,長野県,社会民主党,,,,29
r06-10-27,岐阜県,日本共産党,81959,,81959,29
r06-10-27,岐阜県,国民民主党,64039,,64039,29
r06-10-27,岐阜県,れいわ新選組,48002,,48002,29
r06-10-27,岐阜県,社会民主党,,,,29
r06-10-27,静岡県,日本共産党,26664,25625.926,52289.926,29
r06-10-27,静岡県,国民民主党,82448,,82448,29
r06-10-27,静岡県,れいわ新選組,21003,,21003,29
r06-10-27,静岡県,社会民主党,,,,29
r06-10-27,愛知県,日本共産党,173345.299,19899,193244.299,29
r06-10-27,愛知県,国民民主党,187662,245934,433596,29
r06-10-27,愛知県,れいわ新選組,17529,,17529,29
r06-10-27,愛知県,社会民主党,26854,,26854,29
r06-10-27,三重県,日本共産党,26324,15753,42077,29
r06-10-27,三重県,国民民主党,,,,29
r06-10-27,三重県,れいわ新選組,,,,29
r06-10-27,三重県,社会民主党,,,,29
r06-10-27,滋賀県,日本共産党,25446,28359,53805,29
r06-10-27,滋賀県,国民民主党,,,,29
r06-10-27,滋賀県,れいわ新選組,,,,29
r06-10-27,滋賀県,社会民主党,,,,29
r06-10-27,京都府,日本共産党,121400,30697,152097,29
r06-10-27,京都府,国民民主党,,,,29
r06-10-27,京都府,れいわ新選組,,14531,14531,29
