election_id,prefecture,district_no,deposit_forfeit_point,source_page
r06-10-27,北海道,1,25007.500,103
r06-10-27,北海道,2,23476.500,103
r06-10-27,北海道,3,23991.400,103
r06-10-27,北海道,4,22495.900,103
r06-10-27,北海道,5,24273.600,103
r06-10-27,北海道,6,21479.600,103
r06-10-27,北海道,7,13207.700,103
r06-10-27,北海道,8,19247.200,104
r06-10-27,北海道,9,18889.200,104
r06-10-27,北海道,10,15435.200,104
r06-10-27,北海道,11,16176.600,104
r06-10-27,北海道,12,15025.300,104
r06-10-27,青森県,1,16568.800,104
r06-10-27,青森県,2,18242.400,104
r06-10-27,青森県,3,17471.900,104
r06-10-27,岩手県,1,15339.900,105
r06-10-27,岩手県,2,18649.000,105
r06-10-27,岩手県,3,19971.100,105
r06-10-27,宮城県,1,22291.800,105
r06-10-27,宮城県,2,21899.000,105
r06-10-27,宮城県,3,14947.200,105
r06-10-27,宮城県,4,19633.900,105
r06-10-27,宮城県,5,17727.600,105
r06-10-27,秋田県,1,14464.200,105
r06-10-27,秋田県,2,14060.000,106
r06-10-27,秋田県,3,18432.800,106
r06-10-27,山形県,1,16624.800,106
r06-10-27,山形県,2,18608.200,106
r06-10-27,山形県,3,16738.300,106
r06-10-27,福島県,1,20879.200,106
r06-10-27,福島県,2,22846.600,106
r06-10-27,福島県,3,17666.200,107
r06-10-27,福島県,4,18433.800,107
r06-10-27,茨城県,1,20938.700,107
r06-10-27,茨城県,2,13696.700,107
r06-10-27,茨城県,3,19869.900,107
r06-10-27,茨城県,4,13320.900,107
r06-10-27,茨城県,5,11984.900,107
r06-10-27,茨城県,6,24432.500,108
r06-10-27,茨城県,7,16441.100,108
r06-10-27,栃木県,1,19622.800,108
r06-10-27,栃木県,2,12033.200,108
r06-10-27,栃木県,3,12182.700,108
r06-10-27,栃木県,4,18081.800,108
r06-10-27,栃木県,5,15864.500,108
r06-10-27,群馬県,1,15881.600,108
r06-10-27,群馬県,2,14729.300,109
r06-10-27,群馬県,3,14964.600,109
r06-10-27,群馬県,4,14299.800,109
r06-10-27,群馬県,5,15616.300,109
