election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
r06-10-27,smd,,北海道,2455262,2387057,68205,2.78,35
r06-10-27,smd,,青森県,534604,522831,11773,2.20,35
r06-10-27,smd,,岩手県,555922,539600,16322,2.94,35
r06-10-27,smd,,宮城県,990026,964995,25031,2.53,35
r06-10-27,smd,,秋田県,477403,469570,7833,1.64,35
r06-10-27,smd,,山形県,529914,519713,10201,1.93,35
r06-10-27,smd,,福島県,821102,798258,22844,2.78,35
r06-10-27,smd,,茨城県,1245944,1206847,39097,3.14,35
r06-10-27,smd,,栃木県,802482,777850,24632,3.07,35
r06-10-27,smd,,群馬県,789158,754916,34242,4.34,35
r06-10-27,smd,,埼玉県,3138076,3037443,100633,3.21,35
r06-10-27,smd,,千葉県,2739611,2651609,88002,3.21,35
r06-10-27,smd,,東京都,6465088,6223524,241564,3.74,35
r06-10-27,smd,,神奈川県,4202671,4068569,134102,3.19,35
r06-10-27,smd,,新潟県,1064181,1037616,26565,2.50,35
r06-10-27,smd,,富山県,468402,452886,15516,3.31,35
r06-10-27,smd,,石川県,509460,495279,14181,2.78,35
r06-10-27,smd,,福井県,356380,346981,9399,2.64,35
r06-10-27,smd,,山梨県,382367,368026,14341,3.75,35
r06-10-27,smd,,長野県,968915,939596,29319,3.03,35
r06-10-27,smd,,岐阜県,894299,858021,36278,4.06,35
r06-10-27,smd,,静岡県,1658889,1619871,39018,2.35,35
r06-10-27,smd,,愛知県,3314758,3221903,92855,2.80,35
r06-10-27,smd,,三重県,810828,791030,19798,2.44,35
r06-10-27,smd,,滋賀県,630192,612645,17547,2.78,35
r06-10-27,smd,,京都府,1097478,1072374,25104,2.29,35
r06-10-27,smd,,大阪府,3821044,3704650,116394,3.05,35
r06-10-27,smd,,兵庫県,2413911,2348791,65120,2.70,35
r06-10-27,smd,,奈良県,649555,633326,16229,2.50,35
r06-10-27,smd,,和歌山県,440132,426612,13520,3.07,35
r06-10-27,smd,,鳥取県,262386,257156,5230,1.99,35
r06-10-27,smd,,島根県,314933,307978,6955,2.21,35
r06-10-27,smd,,岡山県,770194,745199,24995,3.25,35
r06-10-27,smd,,広島県,1100604,1061665,38939,3.54,35
r06-10-27,smd,,山口県,573985,557486,16499,2.87,35
r06-10-27,smd,,徳島県,305601,298568,7033,2.30,35
r06-10-27,smd,,香川県,418961,409712,9249,2.21,35
r06-10-27,smd,,愛媛県,574164,560377,13787,2.40,35
r06-10-27,smd,,高知県,299056,290755,8301,2.78,35
r06-10-27,smd,,福岡県,2166722,2096214,70508,3.25,35
r06-10-27,smd,,佐賀県,369606,362645,6961,1.88,35
r06-10-27,smd,,長崎県,565037,553089,11948,2.11,35
r06-10-27,smd,,熊本県,741992,717220,24772,3.34,35
r06-10-27,smd,,大分県,515021,502884,12137,2.36,35
r06-10-27,smd,,宮崎県,444106,431686,12420,2.80,35
r06-10-27,smd,,鹿児島県,697053,682165,14888,2.14,35
r06-10-27,smd,,沖縄県,586980,574690,12290,2.09,35
r06-10-27,smd,,合計,55934455,54261878,1672577,2.99,35
