election_id,block,party,votes,seats,seats_male,seats_female,source_page
r06-10-27,北海道,日本維新の会,96954,0,0,0,48
r06-10-27,北海道,自由民主党,641127,3,2,1,48
r06-10-27,北海道,れいわ新選組,177620,0,0,0,48
r06-10-27,北海道,参政党,57002,0,0,0,48
r06-10-27,北海道,安楽死制度を考える会,18455,0,0,0,49
r06-10-27,北海道,社会民主党,31134,0,0,0,49
r06-10-27,北海道,公明党,253344,1,1,0,49
r06-10-27,北海道,日本保守党,61903,0,0,0,49
r06-10-27,北海道,日本共産党,169799,0,0,0,50
r06-10-27,北海道,国民民主党,192303.871,1,1,0,50
r06-10-27,北海道,立憲民主党,694578.943,3,2,1,50
r06-10-27,東北,自由民主党,1188975,5,4,1,51
r06-10-27,東北,日本共産党,223409,0,0,0,51
r06-10-27,東北,社会民主党,79484,0,0,0,51
r06-10-27,東北,国民民主党,396991.902,1,1,0,51
r06-10-27,東北,公明党,367341,1,1,0,52
r06-10-27,東北,日本維新の会,165697,0,0,0,52
r06-10-27,東北,参政党,94354,0,0,0,52
r06-10-27,東北,立憲民主党,993007.872,4,4,0,52
r06-10-27,東北,れいわ新選組,271855,1,0,1,53
r06-10-27,北関東,日本共産党,354915,1,1,0,54
r06-10-27,北関東,日本保守党,146728,0,0,0,54
r06-10-27,北関東,自由民主党,1603644,7,5,2,54
r06-10-27,北関東,国民民主党,686080.528,1,1,0,54
r06-10-27,北関東,日本維新の会,391136,1,1,0,55
r06-10-27,北関東,参政党,175559,0,0,0,55
r06-10-27,北関東,公明党,674694,3,3,0,55
r06-10-27,北関東,社会民主党,87247,0,0,0,55
r06-10-27,北関東,立憲民主党,1283911.293,5,3,2,56
r06-10-27,北関東,れいわ新選組,419511,1,1,0,56
r06-10-27,南関東,日本保守党,191169,0,0,0,57
r06-10-27,南関東,日本維新の会,536161,2,2,0,57
r06-10-27,南関東,社会民主党,109959,0,0,0,57
r06-10-27,南関東,自由民主党,1822230,7,6,1,57
r06-10-27,南関東,立憲民主党,1700535.202,6,5,1,58
r06-10-27,南関東,公明党,729980,2,1,1,58
r06-10-27,南関東,れいわ新選組,472519,1,1,0,58
r06-10-27,南関東,日本共産党,437724,1,1,0,58
r06-10-27,南関東,国民民主党,907123.654,3,2,1,59
r06-10-27,南関東,参政党,267145,1,1,0,59
r06-10-27,東京都,日本共産党,498565,1,0,1,60
r06-10-27,東京都,立憲民主党,1298166.012,5,3,2,60
r06-10-27,東京都,れいわ新選組,451865,1,0,1,60
r06-10-27,東京都,社会民主党,96302,0,0,0,60
r06-10-27,東京都,公明党,573191,2,1,1,61
r06-10-27,東京都,日本維新の会,516610,2,1,1,61
r06-10-27,東京都,参政党,237271,0,0,0,61
r06-10-27,東京都,国民民主党,945460.918,3,2,1,61
r06-10-27,東京都,自由民主党,1498632,5,5,0,62
r06-10-27,東京都,日本保守党,201770,0,0,0,62
r06-10-27,東京都,みんなでつくる党,23784,0,0,0,62
r06-10-27,北陸信越,日本維新の会,228617,1,1,0,63
r06-10-27,北陸信越,公明党,258634,1,1,0,63
r06-10-27,北陸信越,参政党,100050,0,0,0,63
r06-10-27,北陸信越,社会民主党,61928,0,0,0,63
r06-10-27,北陸信越,日本共産党,181910,0,0,0,64
r06-10-27,北陸信越,立憲民主党,818773.297,3,3,0,64
r06-10-27,北陸信越,国民民主党,341114.540,1,1,0,64
r06-10-27,北陸信越,れいわ新選組,216659,0,0,0,64
r06-10-27,北陸信越,自由民主党,1053516,4,4,0,65
r06-10-27,東海,日本維新の会,427368,1,1,0,66
r06-10-27,東海,国民民主党,856909.462,1,1,0,66
r06-10-27,東海,公明党,665939,2,2,0,66
r06-10-27,東海,日本保守党,255726,1,0,1,66
r06-10-27,東海,日本共産党,334599,1,0,1,67
r06-10-27,東海,立憲民主党,1474091.358,6,3,3,67
r06-10-27,東海,自由民主党,1717737,7,7,0,67
r06-10-27,東海,参政党,179069,0,0,0,67
r06-10-27,東海,社会民主党,90708,0,0,0,68
r06-10-27,東海,れいわ新選組,506112,2,2,0,68
r06-10-27,近畿,自由民主党,1837859,6,6,0,69
r06-10-27,近畿,日本維新の会,2069796,7,4,3,69
r06-10-27,近畿,国民民主党,739441.538,2,2,0,69
r06-10-27,近畿,参政党,350211,1,0,1,69
r06-10-27,近畿,れいわ新選組,557899,2,0,2,70
r06-10-27,近畿,社会民主党,99161,0,0,0,70
r06-10-27,近畿,公明党,1030324,3,1,2,70
r06-10-27,近畿,立憲民主党,1247328.218,4,3,1,70
r06-10-27,近畿,日本保守党,288326,1,1,0,71
r06-10-27,近畿,日本共産党,649195,2,1,1,71
r06-10-27,中国,日本共産党,149218,0,0,0,72
r06-10-27,中国,国民民主党,307680.728,1,1,0,72
r06-10-27,中国,立憲民主党,572599.156,3,3,0,72
r06-10-27,中国,社会民主党,53620,0,0,0,72
r06-10-27,中国,参政党,88358,0,0,0,73
r06-10-27,中国,日本維新の会,187517,0,0,0,73
r06-10-27,中国,れいわ新選組,173622,0,0,0,73
r06-10-27,中国,公明党,354291,1,1,0,73
r06-10-27,中国,自由民主党,1056320,5,5,0,74
r06-10-27,四国,日本共産党,88224,0,0,0,75
r06-10-27,四国,日本維新の会,103237,0,0,0,75
r06-10-27,四国,立憲民主党,281209.617,1,1,0,75
r06-10-27,四国,社会民主党,24361,0,0,0,75
r06-10-27,四国,公明党,196765,1,1,0,76
r06-10-27,四国,自由民主党,479835,3,3,0,76
r06-10-27,四国,国民民主党,233515.289,1,0,1,76
r06-10-27,四国,れいわ新選組,95973,0,0,0,76
r06-10-27,四国,参政党,44127,0,0,0,77
r06-10-27,九州,日本共産党,275408,1,1,0,78
