election_id,kind,prefecture,age_band,count,source_page
r06-10-27,winners,群馬県,計,5,24
r06-10-27,winners,埼玉県,25歳～29歳,1,24
r06-10-27,winners,埼玉県,30歳～34歳,,24
r06-10-27,winners,埼玉県,35歳～39歳,,24
r06-10-27,winners,埼玉県,40歳～44歳,1,24
r06-10-27,winners,埼玉県,45歳～49歳,1,24
r06-10-27,winners,埼玉県,50歳～54歳,3,24
r06-10-27,winners,埼玉県,55歳～59歳,2,24
r06-10-27,winners,埼玉県,60歳～64歳,3,24
r06-10-27,winners,埼玉県,65歳～69歳,3,24
r06-10-27,winners,埼玉県,70歳以上,2,24
r06-10-27,winners,埼玉県,計,16,24
r06-10-27,winners,千葉県,25歳～29歳,,24
r06-10-27,winners,千葉県,30歳～34歳,1,24
r06-10-27,winners,千葉県,35歳～39歳,,24
r06-10-27,winners,千葉県,40歳～44歳,,24
r06-10-27,winners,千葉県,45歳～49歳,2,24
r06-10-27,winners,千葉県,50歳～54歳,1,24
r06-10-27,winners,千葉県,55歳～59歳,2,24
r06-10-27,winners,千葉県,60歳～64歳,4,24
r06-10-27,winners,千葉県,65歳～69歳,3,24
r06-10-27,winners,千葉県,70歳以上,1,24
r06-10-27,winners,千葉県,計,14,24
r06-10-27,winners,東京都,25歳～29歳,,24
r06-10-27,winners,東京都,30歳～34歳,1,24
r06-10-27,winners,東京都,35歳～39歳,2,24
r06-10-27,winners,東京都,40歳～44歳,2,24
r06-10-27,winners,東京都,45歳～49歳,6,24
r06-10-27,winners,東京都,50歳～54歳,3,24
r06-10-27,winners,東京都,55歳～59歳,6,24
r06-10-27,winners,東京都,60歳～64歳,3,24
r06-10-27,winners,東京都,65歳～69歳,4,24
r06-10-27,winners,東京都,70歳以上,3,24
r06-10-27,winners,東京都,計,30,24
r06-10-27,winners,神奈川県,25歳～29歳,,24
r06-10-27,winners,神奈川県,30歳～34歳,1,24
r06-10-27,winners,神奈川県,35歳～39歳,,24
r06-10-27,winners,神奈川県,40歳～44歳,4,24
r06-10-27,winners,神奈川県,45歳～49歳,3,24
r06-10-27,winners,神奈川県,50歳～54歳,,24
r06-10-27,winners,神奈川県,55歳～59歳,5,24
r06-10-27,winners,神奈川県,60歳～64歳,2,24
r06-10-27,winners,神奈川県,65歳～69歳,2,24
r06-10-27,winners,神奈川県,70歳以上,3,24
r06-10-27,winners,神奈川県,計,20,24
r06-10-27,winners,新潟県,25歳～29歳,,24
r06-10-27,winners,新潟県,30歳～34歳,,24
r06-10-27,winners,新潟県,35歳～39歳,,24
r06-10-27,winners,新潟県,40歳～44歳,,24
r06-10-27,winners,新潟県,45歳～49歳,,24
r06-10-27,winners,新潟県,50歳～54歳,1,24
r06-10-27,winners,新潟県,55歳～59歳,4,24
r06-10-27,winners,新潟県,60歳～64歳,,24
r06-10-27,winners,新潟県,65歳～69歳,,24
