election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
r06-10-27,pr,北海道,北海道,2454927,2394221,60706,2.47,36
r06-10-27,pr,東北,青森県,534493,516466,18027,3.37,36
r06-10-27,pr,東北,岩手県,555846,531585,24261,4.36,36
r06-10-27,pr,東北,宮城県,989878,964474,25404,2.57,36
r06-10-27,pr,東北,秋田県,477369,462268,15101,3.16,36
r06-10-27,pr,東北,山形県,529823,513342,16481,3.11,36
r06-10-27,pr,東北,福島県,821030,792980,28050,3.42,36
r06-10-27,pr,東北,計,3908439,3781115,127324,3.26,36
r06-10-27,pr,北関東,茨城県,1245857,1209779,36078,2.90,36
r06-10-27,pr,北関東,栃木県,802431,774950,27481,3.42,36
r06-10-27,pr,北関東,群馬県,789119,765970,23149,2.93,36
r06-10-27,pr,北関東,埼玉県,3137675,3072727,64948,2.07,36
r06-10-27,pr,北関東,計,5975082,5823426,151656,2.54,36
r06-10-27,pr,南関東,千葉県,2739367,2686128,53239,1.94,36
r06-10-27,pr,南関東,神奈川県,4202282,4117632,84650,2.01,36
r06-10-27,pr,南関東,山梨県,382345,370786,11559,3.02,36
r06-10-27,pr,南関東,計,7323994,7174546,149448,2.04,36
r06-10-27,pr,東京都,東京都,6464475,6341617,122858,1.90,36
r06-10-27,pr,北陸信越,新潟県,1064022,1034137,29885,2.81,36
r06-10-27,pr,北陸信越,富山県,468332,450134,18198,3.89,36
r06-10-27,pr,北陸信越,石川県,509431,493285,16146,3.17,36
r06-10-27,pr,北陸信越,福井県,356357,345604,10753,3.02,36
r06-10-27,pr,北陸信越,長野県,968793,938042,30751,3.17,36
r06-10-27,pr,北陸信越,計,3366935,3261202,105733,3.14,36
r06-10-27,pr,東海,岐阜県,894250,869263,24987,2.79,36
r06-10-27,pr,東海,静岡県,1658726,1609042,49684,3.00,36
r06-10-27,pr,東海,愛知県,3314632,3238721,75911,2.29,36
r06-10-27,pr,東海,三重県,810800,791233,19567,2.41,36
r06-10-27,pr,東海,計,6678408,6508259,170149,2.55,36
r06-10-27,pr,近畿,滋賀県,630154,618160,11994,1.90,36
r06-10-27,pr,近畿,京都府,1097395,1073633,23762,2.17,36
r06-10-27,pr,近畿,大阪府,3820672,3756109,64563,1.69,36
r06-10-27,pr,近畿,兵庫県,2413645,2364136,49509,2.05,36
r06-10-27,pr,近畿,奈良県,649504,632872,16632,2.56,36
r06-10-27,pr,近畿,和歌山県,440096,424631,15465,3.51,36
r06-10-27,pr,近畿,計,9051466,8869541,181925,2.01,36
r06-10-27,pr,中国,鳥取県,262352,255264,7088,2.70,36
r06-10-27,pr,中国,島根県,314907,307306,7601,2.41,36
r06-10-27,pr,中国,岡山県,770089,749435,20654,2.68,36
r06-10-27,pr,中国,広島県,1100524,1073696,26828,2.44,36
r06-10-27,pr,中国,山口県,573918,557525,16393,2.86,36
r06-10-27,pr,中国,計,3021790,2943226,78564,2.60,36
r06-10-27,pr,四国,徳島県,305523,294666,10857,3.55,36
r06-10-27,pr,四国,香川県,418910,408447,10463,2.50,36
r06-10-27,pr,四国,愛媛県,574114,557044,17070,2.97,36
r06-10-27,pr,四国,高知県,299011,287090,11921,3.99,36
r06-10-27,pr,四国,計,1597558,1547247,50311,3.15,36
r06-10-27,pr,九州,福岡県,2166568,2106598,59970,2.77,36
r06-10-27,pr,九州,佐賀県,369593,359537,10056,2.72,36
r06-10-27,pr,九州,長崎県,564955,549344,15611,2.76,36
r06-10-27,pr,九州,熊本県,741984,717488,24496,3.30,36
r06-10-27,pr,九州,大分県,514893,495645,19248,3.74,36
r06-10-27,pr,九州,宮崎県,444076,433824,10252,2.31,36
r06-10-27,pr,九州,鹿児島県,696981,677253,19728,2.83,36
r06-10-27,pr,九州,沖縄県,586677,565633,21044,3.59,36
r06-10-27,pr,九州,計,6085727,5905322,180405,2.96,36
r06-10-27,pr,,合計,55928801,54549722,1379079,2.47,36
