election_id,tier,scope,block,prefecture,electors_male,electors_female,electors_total,voters_male,voters_female,voters_total,abstainers_male,abstainers_female,abstainers_total,source_page
r06-10-27,pr,overseas,四国,徳島県,103,190,293,17,21,38,86,169,255,15
r06-10-27,pr,overseas,四国,香川県,192,315,507,28,35,63,164,280,444,15
r06-10-27,pr,overseas,四国,愛媛県,257,414,671,24,43,67,233,371,604,15
r06-10-27,pr,overseas,四国,高知県,248,388,636,12,26,38,236,362,598,15
r06-10-27,pr,overseas,四国,計,800,1307,2107,81,125,206,719,1182,1901,15
r06-10-27,pr,overseas,九州,福岡県,958,1720,2678,133,277,410,825,1443,2268,15
r06-10-27,pr,overseas,九州,佐賀県,203,337,540,14,31,45,189,306,495,15
r06-10-27,pr,overseas,九州,長崎県,249,492,741,24,44,68,225,448,673,15
r06-10-27,pr,overseas,九州,熊本県,584,939,1523,29,74,103,555,865,1420,15
r06-10-27,pr,overseas,九州,大分県,165,300,465,13,35,48,152,265,417,15
r06-10-27,pr,overseas,九州,宮崎県,168,352,520,15,40,55,153,312,465,15
r06-10-27,pr,overseas,九州,鹿児島県,424,646,1070,29,46,75,395,600,995,15
r06-10-27,pr,overseas,九州,沖縄県,1412,2020,3432,37,61,98,1375,1959,3334,15
r06-10-27,pr,overseas,九州,計,4163,6806,10969,294,608,902,3869,6198,10067,15
r06-10-27,pr,overseas,,合計,39214,56258,95472,8228,9228,17456,30986,47030,78016,15
