election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r08-02-08,北海道,自由民主党,1040697,197565,1238262,27
r08-02-08,北海道,中道改革連合,623718,308899,932617,27
r08-02-08,北海道,日本維新の会,18625,,18625,27
r08-02-08,北海道,国民民主党,29134,,29134,27
r08-02-08,青森県,自由民主党,260215,,260215,27
r08-02-08,青森県,中道改革連合,97245,67604,164849,27
r08-02-08,青森県,日本維新の会,,,,27
r08-02-08,青森県,国民民主党,30016,,30016,27
r08-02-08,岩手県,自由民主党,294100,,294100,27
r08-02-08,岩手県,中道改革連合,151940,,151940,27
r08-02-08,岩手県,日本維新の会,,,,27
r08-02-08,岩手県,国民民主党,,67294,67294,27
r08-02-08,宮城県,自由民主党,433348,124250,557598,27
r08-02-08,宮城県,中道改革連合,156665,151801,308466,27
r08-02-08,宮城県,日本維新の会,25640,,25640,27
r08-02-08,宮城県,国民民主党,,23237,23237,27
r08-02-08,秋田県,自由民主党,221355,,221355,27
r08-02-08,秋田県,中道改革連合,80331,,80331,27
r08-02-08,秋田県,日本維新の会,14843,,14843,27
r08-02-08,秋田県,国民民主党,87573,25510,113083,27
r08-02-08,山形県,自由民主党,230575,90730,321305,27
r08-02-08,山形県,中道改革連合,80875,,80875,27
r08-02-08,山形県,日本維新の会,,,,27
r08-02-08,山形県,国民民主党,71776,,71776,27
r08-02-08,福島県,自由民主党,436923,,436923,27
r08-02-08,福島県,中道改革連合,221829,93471,315300,27
r08-02-08,福島県,日本維新の会,,,,27
r08-02-08,福島県,国民民主党,38539,,38539,27
r08-02-08,茨城県,自由民主党,417719,184088,601807,27
r08-02-08,茨城県,中道改革連合,86625.083,,86625.083,27
r08-02-08,茨城県,日本維新の会,,,,27
r08-02-08,茨城県,国民民主党,86888,,86888,27
r08-02-08,栃木県,自由民主党,404341,,404341,27
r08-02-08,栃木県,中道改革連合,185448,,185448,27
r08-02-08,栃木県,日本維新の会,41233,,41233,27
r08-02-08,栃木県,国民民主党,19626,,19626,27
r08-02-08,群馬県,自由民主党,368704,107356,476060,27
r08-02-08,群馬県,中道改革連合,137155,,137155,27
r08-02-08,群馬県,日本維新の会,,,,27
r08-02-08,群馬県,国民民主党,22227,,22227,27
r08-02-08,埼玉県,自由民主党,1491570,98187,1589757,27
r08-02-08,埼玉県,中道改革連合,587337,265693,853030,27
r08-02-08,埼玉県,日本維新の会,73139,16072,89211,27
r08-02-08,埼玉県,国民民主党,261127,,261127,27
r08-02-08,千葉県,自由民主党,1321108,85073,1406181,27
r08-02-08,千葉県,中道改革連合,664829,95728,760557,27
r08-02-08,千葉県,日本維新の会,37021,,37021,27
r08-02-08,千葉県,国民民主党,81382,53532,134914,27
r08-02-08,東京都,自由民主党,2352194.834,498338,2850532.834,27
r08-02-08,東京都,中道改革連合,1027322.712,447732,1475054.712,27
r08-02-08,東京都,日本維新の会,158030,93106,251136,27
r08-02-08,東京都,国民民主党,637676,313232,950908,27
r08-02-08,神奈川県,自由民主党,1712293,414059,2126352,27
r08-02-08,神奈川県,中道改革連合,836200,297054,1133254,27
r08-02-08,神奈川県,日本維新の会,146287,34078,180365,27
r08-02-08,神奈川県,国民民主党,248896,45947,294843,27
r08-02-08,新潟県,自由民主党,531706,,531706,27
r08-02-08,新潟県,中道改革連合,218192,158769,376961,27
r08-02-08,新潟県,日本維新の会,10092,9241,19333,27
r08-02-08,新潟県,国民民主党,15842,,15842,27
r08-02-08,富山県,自由民主党,297695,,297695,27
r08-02-08,富山県,中道改革連合,57834,,57834,27
r08-02-08,富山県,日本維新の会,,,,27
r08-02-08,富山県,国民民主党,35576,,35576,27
r08-02-08,石川県,自由民主党,296574.720,,296574.720,27
r08-02-08,石川県,中道改革連合,64893,,64893,27
r08-02-08,石川県,日本維新の会,19547,,19547,27
r08-02-08,石川県,国民民主党,48150,,48150,27
r08-02-08,福井県,自由民主党,,93292,93292,27
r08-02-08,福井県,中道改革連合,91536,,91536,27
r08-02-08,福井県,日本維新の会,,,,27
r08-02-08,福井県,国民民主党,34541,,34541,27
r08-02-08,山梨県,自由民主党,128168,108477,236645,27
r08-02-08,山梨県,中道改革連合,87812,,87812,27
r08-02-08,山梨県,日本維新の会,,,,27
r08-02-08,山梨県,国民民主党,,,,27
r08-02-08,長野県,自由民主党,406946,104107,511053,27
r08-02-08,長野県,中道改革連合,310782,,310782,27
r08-02-08,長野県,日本維新の会,53780,,53780,27
r08-02-08,長野県,国民民主党,34122,,34122,27
r08-02-08,岐阜県,自由民主党,392440,90249,482689,27
r08-02-08,岐阜県,中道改革連合,153763,,153763,27
r08-02-08,岐阜県,日本維新の会,11268,,11268,27
r08-02-08,岐阜県,国民民主党,78598,44679,123277,27
