election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
r08-02-08,smd,,北海道,2503209,2445796,57413,2.29,34
r08-02-08,smd,,青森県,501839,492879,8960,1.79,34
r08-02-08,smd,,岩手県,580887,567926,12961,2.23,34
r08-02-08,smd,,宮城県,1056454,1038403,18051,1.71,34
r08-02-08,smd,,秋田県,451452,442503,8949,1.98,34
r08-02-08,smd,,山形県,520574,511337,9237,1.77,34
r08-02-08,smd,,福島県,877081,860933,16148,1.84,34
r08-02-08,smd,,茨城県,1239235,1203924,35311,2.85,34
r08-02-08,smd,,栃木県,839238,820820,18418,2.19,34
r08-02-08,smd,,群馬県,835345,799254,36091,4.32,34
r08-02-08,smd,,埼玉県,3268561,3153229,115332,3.53,34
r08-02-08,smd,,千葉県,2820034,2741287,78747,2.79,34
r08-02-08,smd,,東京都,6840677,6664628,176049,2.57,34
r08-02-08,smd,,神奈川県,4282795,4150827,131968,3.08,34
r08-02-08,smd,,新潟県,1054419,1038526,15893,1.51,34
r08-02-08,smd,,富山県,450627,440691,9936,2.20,34
r08-02-08,smd,,石川県,515334,494199,21135,4.10,34
r08-02-08,smd,,福井県,333284,325295,7989,2.40,34
r08-02-08,smd,,山梨県,390512,377914,12598,3.23,34
r08-02-08,smd,,長野県,1012400,988570,23830,2.35,34
r08-02-08,smd,,岐阜県,928670,907211,21459,2.31,34
r08-02-08,smd,,静岡県,1740114,1695347,44767,2.57,34
r08-02-08,smd,,愛知県,3575991,3499550,76441,2.14,34
r08-02-08,smd,,三重県,824320,808754,15566,1.89,34
r08-02-08,smd,,滋賀県,655024,641506,13518,2.06,34
r08-02-08,smd,,京都府,1132476,1099196,33280,2.94,34
r08-02-08,smd,,大阪府,4070950,3889302,181648,4.46,34
r08-02-08,smd,,兵庫県,2495095,2429790,65305,2.62,34
r08-02-08,smd,,奈良県,683397,659936,23461,3.43,34
r08-02-08,smd,,和歌山県,424107,404693,19414,4.58,34
r08-02-08,smd,,鳥取県,212334,206742,5592,2.63,34
r08-02-08,smd,,島根県,295704,291690,4014,1.36,34
r08-02-08,smd,,岡山県,817028,794064,22964,2.81,34
r08-02-08,smd,,広島県,1126568,1095639,30929,2.75,34
r08-02-08,smd,,山口県,608446,590503,17943,2.95,34
r08-02-08,smd,,徳島県,324365,318412,5953,1.84,34
r08-02-08,smd,,香川県,442674,429258,13416,3.03,34
r08-02-08,smd,,愛媛県,605813,591233,14580,2.41,34
r08-02-08,smd,,高知県,310373,301602,8771,2.83,34
r08-02-08,smd,,福岡県,2278987,2202864,76123,3.34,34
r08-02-08,smd,,佐賀県,385496,375982,9514,2.47,34
r08-02-08,smd,,長崎県,604177,589199,14978,2.48,34
r08-02-08,smd,,熊本県,801067,779265,21802,2.72,34
r08-02-08,smd,,大分県,535423,524471,10952,2.05,34
r08-02-08,smd,,宮崎県,462168,448396,13772,2.98,34
r08-02-08,smd,,鹿児島県,706476,688034,18442,2.61,34
r08-02-08,smd,,沖縄県,640520,625146,15374,2.40,34
r08-02-08,smd,,合計,58061720,56446726,1614994,2.78,34
