election_id,block,party,votes,seats,seats_male,seats_female,source_page
r08-02-08,北海道,自由民主党,911742,4,2,2,47
r08-02-08,北海道,中道改革連合,605889,3,2,1,47
r08-02-08,北海道,日本維新の会,93966,0,0,0,47
r08-02-08,北海道,国民民主党,218850,1,1,0,47
r08-02-08,北海道,参政党,163329,0,0,0,48
r08-02-08,北海道,日本共産党,134084,0,0,0,48
r08-02-08,北海道,れいわ新選組,76099,0,0,0,48
r08-02-08,北海道,減税日本・ゆうこく連合,32878,0,0,0,48
r08-02-08,北海道,日本保守党,60119,0,0,0,49
r08-02-08,北海道,社会民主党,31754,0,0,0,49
r08-02-08,北海道,チームみらい,134613,0,0,0,49
r08-02-08,東北,自由民主党,1612576,6,6,0,50
r08-02-08,東北,中道改革連合,828883,3,2,1,50
r08-02-08,東北,日本維新の会,165104,0,0,0,50
r08-02-08,東北,国民民主党,389503,1,0,1,50
r08-02-08,東北,参政党,278410,1,1,0,51
r08-02-08,東北,日本共産党,158466,0,0,0,51
r08-02-08,東北,れいわ新選組,121631,0,0,0,51
r08-02-08,東北,日本保守党,72889,0,0,0,51
r08-02-08,東北,社会民主党,55999,0,0,0,52
r08-02-08,東北,チームみらい,234050,1,1,0,52
r08-02-08,北関東,自由民主党,2256845,8,5,3,53
r08-02-08,北関東,中道改革連合,1174717,4,4,0,53
r08-02-08,北関東,日本維新の会,326128,1,1,0,53
r08-02-08,北関東,国民民主党,626695,2,2,0,53
r08-02-08,北関東,参政党,506071,2,0,2,54
r08-02-08,北関東,日本共産党,254497,1,1,0,54
r08-02-08,北関東,れいわ新選組,182261,0,0,0,54
r08-02-08,北関東,減税日本・ゆうこく連合,73101,0,0,0,54
r08-02-08,北関東,日本保守党,150809,0,0,0,55
r08-02-08,北関東,社会民主党,77406,0,0,0,55
r08-02-08,北関東,チームみらい,467561,1,0,1,55
r08-02-08,南関東,自由民主党,2637938,4,3,1,56
r08-02-08,南関東,中道改革連合,1424763,7,5,2,56
r08-02-08,南関東,日本維新の会,463287,2,2,0,56
r08-02-08,南関東,国民民主党,788564,3,2,1,56
r08-02-08,南関東,参政党,531288,2,0,2,57
r08-02-08,南関東,日本共産党,314224,1,0,1,57
r08-02-08,南関東,れいわ新選組,202655,1,1,0,57
r08-02-08,南関東,減税日本・ゆうこく連合,95646,0,0,0,57
r08-02-08,南関東,日本保守党,184802,0,0,0,58
r08-02-08,南関東,社会民主党,91827,0,0,0,58
r08-02-08,南関東,チームみらい,682469,3,2,1,58
r08-02-08,東京都,自由民主党,2243625,3,1,2,59
r08-02-08,東京都,中道改革連合,1119155,5,4,1,59
r08-02-08,東京都,日本維新の会,384487,1,1,0,59
r08-02-08,東京都,国民民主党,746660,3,2,1,59
r08-02-08,東京都,参政党,427028,2,0,2,60
r08-02-08,東京都,日本共産党,407146,1,0,1,60
r08-02-08,東京都,れいわ新選組,179614,0,0,0,60
r08-02-08,東京都,減税日本・ゆうこく連合,89161,0,0,0,60
r08-02-08,東京都,日本保守党,209329,0,0,0,61
r08-02-08,東京都,社会民主党,84362,0,0,0,61
r08-02-08,東京都,チームみらい,887849,4,4,0,61
r08-02-08,北陸信越,自由民主党,1387716,3,3,0,62
r08-02-08,北陸信越,中道改革連合,651331,4,2,2,62
r08-02-08,北陸信越,日本維新の会,231686,1,1,0,62
r08-02-08,北陸信越,国民民主党,322739,1,1,0,62
r08-02-08,北陸信越,参政党,285897,1,1,0,63
r08-02-08,北陸信越,日本共産党,140311,0,0,0,63
r08-02-08,北陸信越,れいわ新選組,100497,0,0,0,63
r08-02-08,北陸信越,減税日本・ゆうこく連合,40094,0,0,0,63
r08-02-08,北陸信越,日本保守党,73566,0,0,0,64
r08-02-08,北陸信越,社会民主党,50017,0,0,0,64
r08-02-08,北陸信越,安楽死制度を考える会,13014,0,0,0,64
r08-02-08,東海,自由民主党,2628008,10,8,2,65
r08-02-08,東海,中道改革連合,1199580,4,4,0,65
r08-02-08,東海,日本維新の会,400964,1,1,0,65
r08-02-08,東海,国民民主党,836102,3,2,1,65
r08-02-08,東海,参政党,527291,2,1,1,66
r08-02-08,東海,日本共産党,241848,0,0,0,66
r08-02-08,東海,れいわ新選組,218838,0,0,0,66
r08-02-08,東海,減税日本・ゆうこく連合,209174,0,0,0,66
r08-02-08,東海,日本保守党,175506,0,0,0,67
r08-02-08,東海,社会民主党,63729,0,0,0,67
r08-02-08,東海,チームみらい,478316,1,1,0,67
r08-02-08,近畿,自由民主党,2842876,10,9,1,68
r08-02-08,近畿,中道改革連合,1332752,5,4,1,68
r08-02-08,近畿,日本維新の会,2168635,8,7,1,68
r08-02-08,近畿,国民民主党,651785,2,2,0,68
r08-02-08,近畿,参政党,631179,2,2,0,69
r08-02-08,近畿,日本共産党,480188,1,1,0,69
r08-02-08,近畿,れいわ新選組,247048,0,0,0,69
r08-02-08,近畿,減税日本・ゆうこく連合,105647,0,0,0,69
r08-02-08,近畿,日本保守党,259055,0,0,0,70
r08-02-08,近畿,社会民主党,75014,0,0,0,70
r08-02-08,近畿,チームみらい,553496,0,0,0,70
r08-02-08,中国,自由民主党,1297078,5,4,1,71
r08-02-08,中国,中道改革連合,620211,2,2,0,71
r08-02-08,中国,日本維新の会,213428,1,1,0,71
r08-02-08,中国,国民民主党,273263,1,0,1,71
r08-02-08,中国,参政党,252036,1,0,1,72
r08-02-08,中国,日本共産党,109968,0,0,0,72
r08-02-08,中国,れいわ新選組,87272,0,0,0,72
r08-02-08,中国,減税日本・ゆうこく連合,40460,0,0,0,72
r08-02-08,中国,日本保守党,73431,0,0,0,73
r08-02-08,中国,社会民主党,37654,0,0,0,73
r08-02-08,四国,自由民主党,691402,4,4,0,74
r08-02-08,四国,中道改革連合,299777,1,1,0,74
r08-02-08,四国,日本維新の会,121217,0,0,0,74
r08-02-08,四国,国民民主党,213661,1,1,0,74
r08-02-08,四国,参政党,138187,0,0,0,75
r08-02-08,四国,日本共産党,68324,0,0,0,75
r08-02-08,四国,れいわ新選組,49267,0,0,0,75
r08-02-08,四国,日本保守党,44284,0,0,0,75
r08-02-08,四国,社会民主党,18674,0,0,0,76
r08-02-08,九州,自由民主党,2516334,10,8,2,77
r08-02-08,九州,中道改革連合,1181744,4,4,0,77
r08-02-08,九州,日本維新の会,374428,1,1,0,77
r08-02-08,九州,国民民主党,505129,2,2,0,77
r08-02-08,九州,参政党,519904,2,2,0,78
r08-02-08,九州,日本共産党,210755,0,0,0,78
r08-02-08,九州,れいわ新選組,207318,0,0,0,78
r08-02-08,九州,減税日本・ゆうこく連合,128713,0,0,0,78
r08-02-08,九州,日本保守党,151773,0,0,0,79
r08-02-08,九州,社会民主党,142166,0,0,0,79
r08-02-08,九州,チームみらい,375396,1,1,0,79
