election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
r08-02-08,smd,overseas,,北海道,22.87,21.33,21.91,15.21,13.05,13.88,7.66,8.28,8.03,12
r08-02-08,smd,overseas,,青森県,14.81,14.80,14.81,18.18,10.69,13.02,-3.37,4.11,1.79,12
r08-02-08,smd,overseas,,岩手県,22.68,15.43,18.01,16.34,11.99,13.60,6.34,3.44,4.41,12
r08-02-08,smd,overseas,,宮城県,23.69,22.90,23.19,13.94,14.02,13.99,9.75,8.88,9.20,12
r08-02-08,smd,overseas,,秋田県,15.38,16.47,16.05,7.64,8.23,8.01,7.74,8.24,8.04,12
r08-02-08,smd,overseas,,山形県,16.36,17.45,17.04,10.70,8.48,9.34,5.66,8.97,7.70,12
r08-02-08,smd,overseas,,福島県,12.67,12.65,12.65,8.57,8.02,8.24,4.10,4.63,4.41,12
r08-02-08,smd,overseas,,茨城県,29.89,28.16,28.87,19.42,15.84,17.35,10.47,12.32,11.52,12
r08-02-08,smd,overseas,,栃木県,23.70,25.55,24.82,15.54,14.58,14.98,8.16,10.97,9.84,12
r08-02-08,smd,overseas,,群馬県,28.48,22.26,24.80,16.96,11.49,13.79,11.52,10.77,11.01,12
r08-02-08,smd,overseas,,埼玉県,34.22,29.34,31.38,22.81,18.51,20.33,11.41,10.83,11.05,12
r08-02-08,smd,overseas,,千葉県,35.66,29.40,32.08,25.84,18.55,21.71,9.82,10.85,10.37,12
r08-02-08,smd,overseas,,東京都,40.79,32.82,36.27,28.78,21.44,24.63,12.01,11.38,11.64,12
r08-02-08,smd,overseas,,神奈川県,34.49,28.61,31.16,24.07,17.79,20.57,10.42,10.82,10.59,12
r08-02-08,smd,overseas,,新潟県,26.28,23.37,24.29,16.50,13.55,14.49,9.78,9.82,9.80,12
r08-02-08,smd,overseas,,富山県,21.72,29.87,26.40,14.49,17.18,15.97,7.23,12.69,10.43,12
r08-02-08,smd,overseas,,石川県,25.48,24.24,24.67,19.08,14.18,15.95,6.40,10.06,8.72,12
r08-02-08,smd,overseas,,福井県,28.46,24.76,26.19,12.00,12.04,12.03,16.46,12.72,14.16,12
r08-02-08,smd,overseas,,山梨県,17.32,20.11,19.01,10.96,10.76,10.83,6.36,9.35,8.18,12
r08-02-08,smd,overseas,,長野県,24.81,20.83,22.36,15.10,12.01,13.20,9.71,8.82,9.16,12
r08-02-08,smd,overseas,,岐阜県,26.26,23.90,24.75,19.29,15.24,16.74,6.97,8.66,8.01,12
r08-02-08,smd,overseas,,静岡県,29.20,25.27,27.00,17.44,13.40,15.20,11.76,11.87,11.80,12
r08-02-08,smd,overseas,,愛知県,32.22,27.55,29.57,21.43,18.01,19.49,10.79,9.54,10.08,12
r08-02-08,smd,overseas,,三重県,24.37,25.72,25.16,15.43,15.84,15.66,8.94,9.88,9.50,12
r08-02-08,smd,overseas,,滋賀県,25.40,27.92,26.86,14.09,16.97,15.73,11.31,10.95,11.13,12
r08-02-08,smd,overseas,,京都府,34.33,32.07,32.96,25.82,18.89,21.59,8.51,13.18,11.37,12
r08-02-08,smd,overseas,,大阪府,34.13,28.48,30.66,23.20,18.85,20.54,10.93,9.63,10.12,12
r08-02-08,smd,overseas,,兵庫県,36.55,28.84,31.73,23.13,17.82,19.83,13.42,11.02,11.90,12
r08-02-08,smd,overseas,,奈良県,32.95,30.52,31.43,21.94,21.61,21.73,11.01,8.91,9.70,12
r08-02-08,smd,overseas,,和歌山県,11.52,12.31,12.03,9.52,8.57,8.91,2.00,3.74,3.12,12
